nn_serotype,auc,threshold,sensitivity,specificity,k
11A,0.9152010076752916,0.1322521277195099,0.8111455108359134,0.9070809290457273,10
11,0.7556818181818182,2.0123928088860833e-4,1,0.6136363636363636,10
9N,0.9644629928043496,0.003478225788702875,0.991869918699187,0.8877611031543405,10
20,0.9018450184501836,0.014765171551454844,0.9428571428571428,0.8191881918819188,10
7C,0.9164936831679645,0.01460648400581915,0.9900990099009901,0.8397700605773953,10
9L,0.4269346008647882,0.0012242224759659252,0.9949186991869918,0.23091997822536744,10
15F,0.41224661569755733,0.17645075218797007,0.379182156133829,0.7748427672955975,10
8,0.9930542584347735,0.13146222607937919,0.935251798561151,0.9920765873335681,10
11B,0.7861401471157673,0.06893651331745448,0.982010582010582,0.545068928950159,10
12B,0.3911891180342253,0.00397992001768726,1,0.2,10
33B,0.8424832703902252,0.06129991598791107,0.9914529914529915,0.7125581395348837,10
33D,0.8290186989314857,0.14289816579001197,0.921875,0.7424575738529227,10
1,0.9863577491091546,0.057953477954659105,1,0.9719823832391948,10
20A,0.6285086980132174,0.00505028996117895,0.9583333333333334,0.506095163193079,10
20B,0.9263694772046064,0.001096640818682265,0.9846153846153847,0.721205186880244,10
15B,0.8444094224847297,0.007433355931149185,0.9193548387096774,0.6586463223787168,10
23A,0.9531755068973307,0.018095393181278004,0.9881305637982196,0.8695341380225885,10
5,0.9938528190494823,0.06872604940005606,1,0.9612003040169649,10
28A,0.794785872260557,0.22192919543859105,0.7751937984496124,0.8293948126801153,10
6E,0.7278476210877703,4.5175692362153504e-4,0.7340241796200345,0.7312661498708011,10
6D,0.6477953807978648,0.07819568870856519,1,0.3854425144747725,10
18B,0.914270608808817,0.09461477169362192,0.9836512261580381,0.7910447761194029,10
18F,0.8265463432976176,0.225178000739177,1,0.6852791878172588,10
17A,0.14285714285714285,0.23360497604003033,1,0.14285714285714285,10
22A,0.9768919969388181,0.24566435187451208,0.9936305732484076,0.9531693472090823,10
24A,0.34423803526448726,0.2915761577736846,0.35,0.8860201511335013,10
27,0.9498313253012118,0.10505646023655096,1,0.8503614457831326,10
2,0.9838057978450512,0.30446186455371815,1,0.9717804002052335,10
10F,0.9557953192886418,0.2944561630873258,0.975609756097561,0.8632979923302504,10
39,0.9977763659466327,0.3172236332109482,1,0.9974587039390089,10
33,0.9109927679158446,6.14063550833377e-5,0.9914529914529915,0.803076923076923,10
35D,0.7189513686181634,0.001336550822811195,0.9955223880597015,0.46494464944649444,10
35B/35D,0.9939393939393939,0.2854873721320968,0.9939393939393939,1,10
25A,1,0.0018917440491344989,1,1,10
7B,0.9820813061017809,0.014877605001632765,0.9939759036144579,0.9531308586426697,10
12A,0.9285714285714286,0.17240223286985473,1,0.9285714285714286,10
40,0.9733285509325684,0.028119283694112818,0.9852941176470589,0.973170731707317,10
