sample_id,true_serotype,true_serogroup,dataset,benchmark
SRR26884466,8,8,Training,GPS benchmark
ERR1430812,23B,23,Training,GPS benchmark
ERR2090517,1,1,Training,GPS benchmark
SRR26714870,9N,9,Training,GPS benchmark
SRR26797944,3,3,Testing,GPS benchmark
ERR1214640,6B,6,Training,GPS benchmark
ERR600143,38,38,Training,GPS benchmark
ERR13365199,15A,15,Training,GPS benchmark
ERR1214647,6C,6,Training,GPS benchmark
ERR600227,22F,22,Training,GPS benchmark
SRR26878552,6C,6,Training,GPS benchmark
SRR26878087,8,8,Training,GPS benchmark
ERR742604,7F,7,Training,GPS benchmark
ERR980355,35D,35,Training,GPS benchmark
ERR1066363,15B/C,15,Training,GPS benchmark
ERR870220,8,8,Training,GPS benchmark
ERR3227796,19F,19,Testing,GPS benchmark
ERR714664,6A,6,Training,GPS benchmark
ERR2090438,1,1,Training,GPS benchmark
ERR980075,19A,19,Training,GPS benchmark
SRR26714950,31,31,Training,GPS benchmark
ERR1202425,3,3,Testing,GPS benchmark
SRR26714418,8,8,Training,GPS benchmark
ERR3303146,6B,6,Training,GPS benchmark
ERR1453491,12F,12,Training,GPS benchmark
SRR26910518,3,3,Training,GPS benchmark
SRR26884175,8,8,Training,GPS benchmark
ERR2090701,23B,23,Training,GPS benchmark
ERR1788547,19F,19,Training,GPS benchmark
ERR1788275,7F,7,Training,GPS benchmark
ERR316592,23F,23,Training,GPS benchmark
ERR742644,19A,19,Training,GPS benchmark
SRR26883991,19F,19,Training,GPS benchmark
ERR311071,23F,23,Training,GPS benchmark
ERR2090685,5,5,Training,GPS benchmark
ERR2681160,16F,16,Training,GPS benchmark
ERR316904,18C,18,Training,GPS benchmark
SRR26818422,22F,22,Training,GPS benchmark
ERR3796768,24F,24,Training,GPS benchmark
SRR26797197,10A,10,Training,GPS benchmark
ERR2681369,19A,19,Training,GPS benchmark
ERR751158,14,14,Training,GPS benchmark
SRR26749459,19A,19,Training,GPS benchmark
ERR4289115,15C,15,Training,GPS benchmark
SRR26818566,19F,19,Training,GPS benchmark
ERR730252,6A,6,Training,GPS benchmark
SRR26910359,8,8,Training,GPS benchmark
SRR26818583,17F,17,Training,GPS benchmark
SRR26789626,9N,9,Training,GPS benchmark
ERR884409,15B/C,15,Testing,GPS benchmark
SRR26818646,8,8,Testing,GPS benchmark
ERR1658089,16F,16,Training,GPS benchmark
SRR26789729,8,8,Training,GPS benchmark
SRR26879514,15B,15,Training,GPS benchmark
ERR1065299,15B/C,15,Training,GPS benchmark
SRR26884074,8,8,Training,GPS benchmark
ERR633117,19A,19,Training,GPS benchmark
SRR26910802,31,31,Training,GPS benchmark
ERR13364666,14,14,Training,GPS benchmark
ERR730145,34,34,Testing,GPS benchmark
ERR8481697,12F,12,Training,GPS benchmark
ERR13366243,14,14,Training,GPS benchmark
ERR596385,7C,7,Training,GPS benchmark
ERR730300,6A,6,Training,GPS benchmark
ERR701869,6A,6,Testing,GPS benchmark
ERR570434,14,14,Training,GPS benchmark
ERR13366013,3,3,Training,GPS benchmark
SRR26877821,3,3,Training,GPS benchmark
ERR1202082,5,5,Training,GPS benchmark
ERR490769,19A,19,Training,GPS benchmark
ERR862521,4,4,Training,GPS benchmark
ERR8481847,7C,7,Training,GPS benchmark
ERR774289,13,13,Training,GPS benchmark
SRR26930379,19A,19,Training,GPS benchmark
ERR997639,4,4,Training,GPS benchmark
SRR26595024,6C,6,Training,GPS benchmark
SRR26749815,23A,23,Training,GPS benchmark
ERR750951,3,3,Training,GPS benchmark
SRR26880302,15A,15,Training,GPS benchmark
ERR1430980,23F,23,Training,GPS benchmark
ERR1192032,21,21,Training,GPS benchmark
ERR876712,6B,6,Training,GPS benchmark
ERR505639,14,14,Testing,GPS benchmark
SRR26594501,8,8,Training,GPS benchmark
ERR876790,15B/C,15,Training,GPS benchmark
ERR326342,3,3,Training,GPS benchmark
SRR26834376,9V,9,Training,GPS benchmark
ERR2667839,5,5,Training,GPS benchmark
ERR925181,23B,23,Training,GPS benchmark
SRR26818234,22F,22,Training,GPS benchmark
SRR26595049,8,8,Training,GPS benchmark
ERR568660,1,1,Training,GPS benchmark
SRR26790199,11A,11,Training,GPS benchmark
ERR14653925,23F,23,Training,GPS benchmark
ERR2680703,33B,33,Training,GPS benchmark
ERR925192,16F,16,Training,GPS benchmark
ERR316712,23F,23,Training,GPS benchmark
SRR26714318,19A,19,Training,GPS benchmark
SRR26910890,12F,12,Training,GPS benchmark
SRR26910994,35B,35,Training,GPS benchmark
SRR26931791,3,3,Training,GPS benchmark
ERR2091264,15B/C,15,Training,GPS benchmark
ERR1191977,21,21,Training,GPS benchmark
ERR3796833,24F,24,Training,GPS benchmark
SRR26749318,22F,22,Testing,GPS benchmark
ERR2680863,6B,6,Training,GPS benchmark
ERR870106,5,5,Training,GPS benchmark
ERR1540676,15B/C,15,Training,GPS benchmark
SRR26594908,33F,33,Training,GPS benchmark
ERR1191906,8,8,Training,GPS benchmark
SRR26595130,24,24,Training,GPS benchmark
SRR26789693,8,8,Training,GPS benchmark
SRR26595008,8,8,Training,GPS benchmark
ERR1066029,21,21,Training,GPS benchmark
SRR26672759,23A,23,Testing,GPS benchmark
ERR1065715,19F,19,Training,GPS benchmark
ERR2667549,5,5,Testing,GPS benchmark
ERR1288919,6B,6,Training,GPS benchmark
ERR884372,14,14,Training,GPS benchmark
ERR730331,9L,9,Training,GPS benchmark
ERR750790,6C,6,Training,GPS benchmark
SRR26833752,19A,19,Training,GPS benchmark
ERR1453654,11A,11,Testing,GPS benchmark
ERR1065858,1,1,Training,GPS benchmark
SRR26750110,3,3,Training,GPS benchmark
ERR913261,19A,19,Training,GPS benchmark
ERR646588,6B,6,Training,GPS benchmark
ERR2667477,6A,6,Training,GPS benchmark
ERR2090866,19F,19,Training,GPS benchmark
ERR984269,9L,9,Training,GPS benchmark
SRR26884584,33F,33,Training,GPS benchmark
SRR26672893,8,8,Training,GPS benchmark
ERR646567,14,14,Training,GPS benchmark
ERR774109,12F,12,Training,GPS benchmark
ERR3303237,23F,23,Training,GPS benchmark
ERR869969,13,13,Training,GPS benchmark
SRR26749412,8,8,Training,GPS benchmark
SRR26714957,10A,10,Training,GPS benchmark
ERR884433,4,4,Training,GPS benchmark
SRR26910991,8,8,Training,GPS benchmark
ERR13364423,14,14,Training,GPS benchmark
ERR13365396,22F,22,Training,GPS benchmark
ERR884503,6B,6,Training,GPS benchmark
ERR662360,19F,19,Training,GPS benchmark
ERR3796896,24F,24,Training,GPS benchmark
ERR1214631,6B,6,Training,GPS benchmark
ERR742675,7F,7,Training,GPS benchmark
ERR1065378,19A,19,Testing,GPS benchmark
SRR26834471,8,8,Training,GPS benchmark
SRR26789670,12F,12,Training,GPS benchmark
ERR1788368,14,14,Testing,GPS benchmark
ERR1202228,23F,23,Training,GPS benchmark
ERR331175,6C,6,Training,GPS benchmark
SRR26797419,19F,19,Training,GPS benchmark
ERR909121,17F,17,Testing,GPS benchmark
SRR26797442,3,3,Training,GPS benchmark
SRR26818603,20B,20,Training,GPS benchmark
SRR26789254,10A,10,Testing,GPS benchmark
ERR730157,39,39,Training,GPS benchmark
SRR26910444,8,8,Training,GPS benchmark
ERR913213,19F,19,Testing,GPS benchmark
ERR751176,6B,6,Training,GPS benchmark
ERR1065498,17F,17,Testing,GPS benchmark
SRR26884494,15A,15,Training,GPS benchmark
ERR600376,33D,33,Training,GPS benchmark
SRR26673153,33F,33,Training,GPS benchmark
SRR26877946,15A,15,Training,GPS benchmark
SRR26879737,6C,6,Training,GPS benchmark
ERR568704,3,3,Training,GPS benchmark
ERR326766,23F,23,Training,GPS benchmark
SRR26673717,3,3,Training,GPS benchmark
ERR1066370,8,8,Training,GPS benchmark
ERR2853617,19A,19,Training,GPS benchmark
ERR751138,23F,23,Training,GPS benchmark
SRR26910923,12F,12,Testing,GPS benchmark
ERR742356,9V,9,Training,GPS benchmark
ERR1066366,21,21,Training,GPS benchmark
ERR1214459,11A,11,Training,GPS benchmark
ERR1422659,6B,6,Training,GPS benchmark
ERR2089083,23B,23,Training,GPS benchmark
SRR26930830,8,8,Training,GPS benchmark
ERR2090135,9V,9,Training,GPS benchmark
ERR2818762,19A,19,Training,GPS benchmark
ERR884394,19A,19,Training,GPS benchmark
SRR26883972,8,8,Testing,GPS benchmark
ERR3227761,14,14,Training,GPS benchmark
ERR316793,16F,16,Training,GPS benchmark
SRR26797549,15A,15,Training,GPS benchmark
ERR1106644,12F,12,Training,GPS benchmark
ERR506036,22F,22,Training,GPS benchmark
ERR714329,12F,12,Training,GPS benchmark
ERR2667800,5,5,Training,GPS benchmark
SRR26878153,7C,7,Training,GPS benchmark
SRR26931783,10A,10,Training,GPS benchmark
SRR26834503,19F,19,Training,GPS benchmark
ERR13375067,23F,23,Training,GPS benchmark
ERR2089037,23B,23,Training,GPS benchmark
ERR600442,23F,23,Training,GPS benchmark
SRR26594639,9N,9,Training,GPS benchmark
ERR1788066,18C,18,Training,GPS benchmark
SRR26714319,15B,15,Training,GPS benchmark
SRR26880231,8,8,Testing,GPS benchmark
ERR1453677,11A,11,Training,GPS benchmark
ERR2853491,19A,19,Training,GPS benchmark
ERR2089866,9N,9,Training,GPS benchmark
ERR2090876,14,14,Training,GPS benchmark
ERR3270763,10A,10,Training,GPS benchmark
ERR980216,24F,24,Training,GPS benchmark
ERR1422419,6B,6,Training,GPS benchmark
ERR13364595,14,14,Training,GPS benchmark
ERR884354,19F,19,Training,GPS benchmark
ERR913222,23F,23,Training,GPS benchmark
ERR331154,6B,6,Training,GPS benchmark
ERR662386,12F,12,Training,GPS benchmark
ERR13374848,31,31,Training,GPS benchmark
ERR750809,23F,23,Training,GPS benchmark
ERR2090626,5,5,Training,GPS benchmark
ERR14653975,6B,6,Testing,GPS benchmark
SRR26797230,8,8,Training,GPS benchmark
ERR1066195,15A,15,Training,GPS benchmark
ERR979888,24F,24,Training,GPS benchmark
ERR1065349,11A,11,Testing,GPS benchmark
ERR2090758,12F,12,Training,GPS benchmark
ERR2667836,14,14,Training,GPS benchmark
ERR773976,18C,18,Training,GPS benchmark
ERR3796657,24F,24,Training,GPS benchmark
ERR331449,23F,23,Training,GPS benchmark
ERR1065936,19F,19,Training,GPS benchmark
ERR714406,19A,19,Training,GPS benchmark
SRR26930408,9N,9,Training,GPS benchmark
SRR26931703,22F,22,Training,GPS benchmark
SRR26714188,3,3,Training,GPS benchmark
ERR3899450,14,14,Training,GPS benchmark
ERR1066243,16F,16,Training,GPS benchmark
SRR26673027,33F,33,Training,GPS benchmark
SRR26834155,3,3,Training,GPS benchmark
SRR26833670,6C,6,Training,GPS benchmark
ERR1106757,15A,15,Testing,GPS benchmark
SRR26880386,3,3,Testing,GPS benchmark
ERR701795,29,29,Training,GPS benchmark
ERR449147,6B,6,Training,GPS benchmark
ERR2667550,5,5,Training,GPS benchmark
ERR7568057,6E,6,Training,GPS benchmark
ERR742755,13,13,Training,GPS benchmark
ERR714343,5,5,Training,GPS benchmark
ERR1288896,19F,19,Training,GPS benchmark
SRR26749787,8,8,Training,GPS benchmark
SRR26797156,3,3,Training,GPS benchmark
ERR1453514,35B,35,Training,GPS benchmark
ERR13365180,23F,23,Training,GPS benchmark
ERR1214328,34,34,Training,GPS benchmark
SRR26818319,9N,9,Testing,GPS benchmark
ERR505483,19F,19,Training,GPS benchmark
ERR1288877,19A,19,Training,GPS benchmark
SRR26714252,3,3,Training,GPS benchmark
ERR13365941,15B,15,Training,GPS benchmark
ERR7568060,19F,19,Training,GPS benchmark
ERR774642,46,46,Training,GPS benchmark
ERR13365858,15A,15,Training,GPS benchmark
ERR913145,6B,6,Training,GPS benchmark
ERR701780,7C,7,Training,GPS benchmark
SRR26884275,10A,10,Training,GPS benchmark
ERR338184,4,4,Training,GPS benchmark
ERR730428,1,1,Training,GPS benchmark
ERR742473,38,38,Training,GPS benchmark
ERR870088,6A,6,Training,GPS benchmark
ERR3899257,27,27,Training,GPS benchmark
ERR2667595,9V,9,Training,GPS benchmark
ERR1658179,5,5,Training,GPS benchmark
ERR925273,34,34,Training,GPS benchmark
ERR1788103,3,3,Training,GPS benchmark
SRR26797867,35B,35,Training,GPS benchmark
ERR884666,6B,6,Training,GPS benchmark
ERR1191943,6A,6,Testing,GPS benchmark
SRR26879605,24,24,Training,GPS benchmark
ERR316580,14,14,Training,GPS benchmark
ERR1288970,5,5,Training,GPS benchmark
SRR26879897,16F,16,Training,GPS benchmark
ERR505577,23F,23,Training,GPS benchmark
ERR9796474,21,21,Training,GPS benchmark
ERR774688,1,1,Training,GPS benchmark
ERR730624,4,4,Training,GPS benchmark
ERR2089367,35C,35,Training,GPS benchmark
SRR26673674,12F,12,Training,GPS benchmark
ERR505842,14,14,Training,GPS benchmark
SRR26884065,22F,22,Training,GPS benchmark
ERR701844,18C,18,Training,GPS benchmark
ERR2090581,5,5,Training,GPS benchmark
SRR26797336,17F,17,Training,GPS benchmark
ERR2089360,23F,23,Training,GPS benchmark
ERR1065817,3,3,Training,GPS benchmark
ERR2090847,33F,33,Training,GPS benchmark
SRR26883996,8,8,Testing,GPS benchmark
ERR505565,6B,6,Training,GPS benchmark
SRR26818038,20B,20,Training,GPS benchmark
SRR26749276,8,8,Training,GPS benchmark
ERR925174,34,34,Training,GPS benchmark
ERR2667402,6B,6,Training,GPS benchmark
ERR331447,4,4,Training,GPS benchmark
ERR3796684,24F,24,Training,GPS benchmark
SRR26714457,22F,22,Training,GPS benchmark
ERR2089426,8,8,Training,GPS benchmark
ERR331123,6B,6,Training,GPS benchmark
ERR1799755,6A,6,Training,GPS benchmark
ERR13364624,14,14,Training,GPS benchmark
SRR26880222,8,8,Training,GPS benchmark
SRR26789220,3,3,Training,GPS benchmark
ERR884497,19F,19,Training,GPS benchmark
ERR773963,6A,6,Training,GPS benchmark
ERR662407,15B/C,15,Training,GPS benchmark
ERR568644,6B,6,Training,GPS benchmark
ERR1066314,12F,12,Training,GPS benchmark
SRR26673120,22F,22,Training,GPS benchmark
SRR26797567,3,3,Training,GPS benchmark
ERR1453623,6B,6,Testing,GPS benchmark
ERR2667588,1,1,Training,GPS benchmark
ERR632936,6A,6,Training,GPS benchmark
ERR925224,9N,9,Training,GPS benchmark
ERR1422566,33F,33,Training,GPS benchmark
ERR876612,23F,23,Training,GPS benchmark
SRR26911170,19A,19,Training,GPS benchmark
ERR1202133,20A,20,Testing,GPS benchmark
SRR26877987,35B,35,Training,GPS benchmark
SRR26672922,3,3,Testing,GPS benchmark
ERR1202584,15A,15,Training,GPS benchmark
ERR774606,6A,6,Training,GPS benchmark
ERR13364559,19F,19,Training,GPS benchmark
ERR1430854,1,1,Training,GPS benchmark
ERR2090169,24F,24,Training,GPS benchmark
ERR2681322,23A,23,Training,GPS benchmark
ERR909297,11A,11,Training,GPS benchmark
SRR26910892,35B,35,Training,GPS benchmark
SRR26879619,19A,19,Training,GPS benchmark
SRR26884503,16F,16,Training,GPS benchmark
ERR774704,19F,19,Training,GPS benchmark
SRR26789678,22F,22,Training,GPS benchmark
ERR1065856,23F,23,Training,GPS benchmark
ERR774588,23A,23,Training,GPS benchmark
ERR13365815,23F,23,Training,GPS benchmark
ERR1788562,6A,6,Training,GPS benchmark
ERR13365261,35F,35,Training,GPS benchmark
SRR26930863,8,8,Training,GPS benchmark
ERR1453738,15B/C,15,Training,GPS benchmark
SRR26749444,23A,23,Training,GPS benchmark
ERR730526,25F,25,Training,GPS benchmark
ERR13364912,15C,15,Training,GPS benchmark
ERR596392,22F,22,Training,GPS benchmark
ERR338201,1,1,Training,GPS benchmark
ERR2853690,19A,19,Training,GPS benchmark
ERR7567960,10A,10,Training,GPS benchmark
SRR26880149,7C,7,Training,GPS benchmark
ERR2090757,7F,7,Training,GPS benchmark
ERR751152,6B,6,Training,GPS benchmark
ERR751077,9V,9,Training,GPS benchmark
ERR730618,12F,12,Training,GPS benchmark
SRR26910774,35F,35,Training,GPS benchmark
SRR26594566,33F,33,Training,GPS benchmark
ERR2680597,6C,6,Training,GPS benchmark
ERR600579,19A,19,Training,GPS benchmark
SRR26910667,8,8,Training,GPS benchmark
SRR26818576,3,3,Testing,GPS benchmark
ERR2091112,9V,9,Training,GPS benchmark
ERR2680838,6A,6,Training,GPS benchmark
ERR2667830,11A,11,Testing,GPS benchmark
SRR26930316,8,8,Training,GPS benchmark
SRR26833562,9N,9,Training,GPS benchmark
ERR1106680,1,1,Training,GPS benchmark
ERR2667869,18C,18,Training,GPS benchmark
SRR26930879,3,3,Training,GPS benchmark
ERR876442,6B,6,Training,GPS benchmark
ERR1066197,35A,35,Training,GPS benchmark
ERR701796,4,4,Training,GPS benchmark
SRR26910712,10A,10,Training,GPS benchmark
SRR26673305,31,31,Training,GPS benchmark
ERR570440,23F,23,Training,GPS benchmark
SRR26931875,3,3,Training,GPS benchmark
ERR913125,13,13,Training,GPS benchmark
ERR568726,19A,19,Training,GPS benchmark
ERR2089311,18C,18,Testing,GPS benchmark
ERR2089382,14,14,Training,GPS benchmark
ERR730678,4,4,Training,GPS benchmark
ERR433684,14,14,Training,GPS benchmark
ERR1202448,15B/C,15,Testing,GPS benchmark
ERR1065114,19F,19,Training,GPS benchmark
ERR884371,19F,19,Testing,GPS benchmark
ERR876694,6B,6,Training,GPS benchmark
SRR26672871,19A,19,Training,GPS benchmark
ERR9796495,33C,33,Training,GPS benchmark
SRR26884532,3,3,Training,GPS benchmark
SRR26878185,8,8,Training,GPS benchmark
SRR26879740,8,8,Training,GPS benchmark
ERR1065648,16F,16,Training,GPS benchmark
ERR13366008,4,4,Training,GPS benchmark
ERR714264,12F,12,Training,GPS benchmark
ERR869890,17A,17,Training,GPS benchmark
SRR26798011,8,8,Training,GPS benchmark
SRR26595142,8,8,Training,GPS benchmark
ERR730878,17F,17,Training,GPS benchmark
SRR26884429,3,3,Training,GPS benchmark
ERR13365579,3,3,Training,GPS benchmark
ERR984259,22A,22,Training,GPS benchmark
ERR1658200,10A,10,Training,GPS benchmark
ERR13365126,23F,23,Training,GPS benchmark
ERR9796507,19A,19,Training,GPS benchmark
ERR1066082,35B,35,Training,GPS benchmark
ERR600335,23F,23,Training,GPS benchmark
ERR2090798,19A,19,Training,GPS benchmark
ERR326557,23F,23,Training,GPS benchmark
SRR26673462,8,8,Training,GPS benchmark
ERR714120,11A,11,Training,GPS benchmark
SRR26789598,12F,12,Training,GPS benchmark
ERR876643,19F,19,Training,GPS benchmark
SRR26834302,7C,7,Training,GPS benchmark
SRR26878615,19F,19,Training,GPS benchmark
ERR876580,14,14,Training,GPS benchmark
ERR1788355,4,4,Training,GPS benchmark
SRR26817799,8,8,Testing,GPS benchmark
ERR600155,33F,33,Training,GPS benchmark
SRR26879637,8,8,Training,GPS benchmark
ERR2089620,1,1,Training,GPS benchmark
ERR3303296,14,14,Training,GPS benchmark
ERR600574,6A,6,Training,GPS benchmark
SRR26715018,9N,9,Training,GPS benchmark
ERR980353,10A,10,Training,GPS benchmark
SRR26714952,22F,22,Training,GPS benchmark
SRR26884079,33F,33,Training,GPS benchmark
ERR774293,1,1,Training,GPS benchmark
ERR326427,23F,23,Training,GPS benchmark
ERR13374630,9V,9,Training,GPS benchmark
SRR26910470,15A,15,Training,GPS benchmark
ERR13364975,15B,15,Training,GPS benchmark
ERR586460,6A,6,Training,GPS benchmark
ERR568571,9V,9,Training,GPS benchmark
SRR26749260,35F,35,Training,GPS benchmark
ERR979878,1,1,Training,GPS benchmark
ERR1788021,12F,12,Training,GPS benchmark
SRR26834008,9N,9,Testing,GPS benchmark
ERR2090797,5,5,Training,GPS benchmark
SRR26931756,8,8,Testing,GPS benchmark
ERR13366002,15A,15,Training,GPS benchmark
ERR1788141,8,8,Training,GPS benchmark
SRR26673527,8,8,Training,GPS benchmark
SRR26797492,3,3,Training,GPS benchmark
ERR1756430,10A,10,Training,GPS benchmark
ERR1214592,23F,23,Testing,GPS benchmark
SRR26673507,8,8,Training,GPS benchmark
ERR331170,6B,6,Training,GPS benchmark
ERR774634,19F,19,Training,GPS benchmark
SRR26789828,33F,33,Training,GPS benchmark
ERR876455,14,14,Training,GPS benchmark
ERR13374671,33F,33,Testing,GPS benchmark
ERR750954,23F,23,Training,GPS benchmark
ERR1638463,3,3,Testing,GPS benchmark
SRR26884481,15A,15,Training,GPS benchmark
SRR26879914,8,8,Testing,GPS benchmark
ERR433908,19F,19,Training,GPS benchmark
SRR26789359,22F,22,Training,GPS benchmark
ERR742447,19A,19,Training,GPS benchmark
ERR2667815,3,3,Training,GPS benchmark
SRR26789409,8,8,Training,GPS benchmark
ERR2667329,46,46,Training,GPS benchmark
ERR2089665,6B,6,Training,GPS benchmark
ERR2091233,5,5,Training,GPS benchmark
SRR26880058,8,8,Training,GPS benchmark
ERR1795487,6A,6,Training,GPS benchmark
SRR26594966,3,3,Training,GPS benchmark
SRR26714589,12F,12,Testing,GPS benchmark
ERR979957,19F,19,Testing,GPS benchmark
ERR2090180,17F,17,Training,GPS benchmark
ERR845739,35F,35,Testing,GPS benchmark
SRR26833769,19A,19,Training,GPS benchmark
SRR26884725,8,8,Training,GPS benchmark
SRR26818115,8,8,Training,GPS benchmark
ERR773879,6B,6,Training,GPS benchmark
ERR1214698,7C,7,Training,GPS benchmark
SRR26879666,7C,7,Training,GPS benchmark
ERR2090378,14,14,Training,GPS benchmark
SRR26884060,8,8,Training,GPS benchmark
ERR1214507,14,14,Training,GPS benchmark
ERR925075,6A,6,Training,GPS benchmark
ERR1756396,34,34,Training,GPS benchmark
ERR1214609,35C,35,Testing,GPS benchmark
ERR13365801,3,3,Training,GPS benchmark
SRR26930306,9N,9,Training,GPS benchmark
ERR13366082,11B,11,Testing,GPS benchmark
ERR742391,19A,19,Training,GPS benchmark
ERR2089721,6B,6,Training,GPS benchmark
SRR26749685,8,8,Testing,GPS benchmark
SRR26818318,8,8,Training,GPS benchmark
ERR730653,3,3,Training,GPS benchmark
SRR26930438,8,8,Training,GPS benchmark
SRR26818204,16F,16,Training,GPS benchmark
ERR774711,23F,23,Training,GPS benchmark
ERR13365137,19F,19,Training,GPS benchmark
SRR26880378,8,8,Training,GPS benchmark
SRR26911137,22F,22,Training,GPS benchmark
SRR26884182,8,8,Training,GPS benchmark
ERR1788527,14,14,Training,GPS benchmark
SRR26594809,17F,17,Testing,GPS benchmark
SRR26833644,22F,22,Training,GPS benchmark
SRR26910620,35B,35,Training,GPS benchmark
ERR908959,22F,22,Training,GPS benchmark
ERR773896,15A,15,Training,GPS benchmark
ERR13366071,22F,22,Training,GPS benchmark
SRR26880040,6E,6,Training,GPS benchmark
SRR26817736,16F,16,Testing,GPS benchmark
ERR2681393,6B,6,Training,GPS benchmark
ERR505672,23A,23,Training,GPS benchmark
