sample_id,Contig_ID,true_serotype,true_serogroup,dataset,benchmark
ERR1191881,9,18A,18,Training,GPS benchmark
ERR13366076,3,16F,16,Training,GPS benchmark
ERR13366076,12,16F,16,Training,GPS benchmark
ERR730652,22,7C,7,Training,GPS benchmark
ERR730652,53,7C,7,Training,GPS benchmark
ERR979905,1,19A,19,Testing,GPS benchmark
ERR2680688,4,15B/C,15,Training,GPS benchmark
SRR26714565,3,19A,19,Training,GPS benchmark
SRR26749751,1,15A,15,Training,GPS benchmark
SRR26834399,25,19A,19,Training,GPS benchmark
ERR3796639,9,24F,24,Training,GPS benchmark
SRR26749196,4,8,8,Training,GPS benchmark
SRR26749196,5,8,8,Training,GPS benchmark
ERR742667,5,9V,9,Training,GPS benchmark
ERR742667,51,9V,9,Training,GPS benchmark
ERR1066282,10,23F,23,Training,GPS benchmark
ERR1066282,26,23F,23,Training,GPS benchmark
ERR1214387,4,19F,19,Training,GPS benchmark
SRR26750019,1,12F,12,Training,GPS benchmark
SRR26750019,6,12F,12,Training,GPS benchmark
ERR600521,3,19F,19,Training,GPS benchmark
ERR600521,38,19F,19,Training,GPS benchmark
ERR662444,1,35F,35,Training,GPS benchmark
SRR26673182,1,3,3,Training,GPS benchmark
SRR26672925,1,4,4,Training,GPS benchmark
SRR26672925,25,4,4,Training,GPS benchmark
ERR1214642,11,6B,6,Training,GPS benchmark
ERR326329,39,6A,6,Training,GPS benchmark
ERR326329,105,6A,6,Training,GPS benchmark
SRR26931030,17,8,8,Training,GPS benchmark
SRR26931030,18,8,8,Training,GPS benchmark
ERR909316,2,19F,19,Training,GPS benchmark
ERR909316,3,19F,19,Training,GPS benchmark
ERR13365895,2,3,3,Training,GPS benchmark
ERR586334,1,6B,6,Training,GPS benchmark
ERR1540691,1,7B,7,Training,GPS benchmark
ERR501499,11,16F,16,Training,GPS benchmark
ERR501499,17,16F,16,Training,GPS benchmark
ERR730234,6,10A,10,Testing,GPS benchmark
ERR730234,21,10A,10,Testing,GPS benchmark
SRR26931235,2,24,24,Training,GPS benchmark
SRR26818031,2,22F,22,Training,GPS benchmark
SRR26818031,9,22F,22,Training,GPS benchmark
ERR3227790,1,34,34,Training,GPS benchmark
ERR570406,3,18B,18,Training,GPS benchmark
ERR570406,13,18B,18,Training,GPS benchmark
SRR26749648,2,19F,19,Training,GPS benchmark
SRR26749648,27,19F,19,Training,GPS benchmark
SRR26797417,1,8,8,Training,GPS benchmark
ERR1214685,8,14,14,Training,GPS benchmark
ERR1214685,26,14,14,Training,GPS benchmark
ERR980352,29,19F,19,Training,GPS benchmark
ERR980352,64,19F,19,Training,GPS benchmark
SRR26797505,2,16F,16,Training,GPS benchmark
SRR26797505,3,16F,16,Training,GPS benchmark
ERR1453742,1,15B/C,15,Training,GPS benchmark
ERR1065129,3,17F,17,Training,GPS benchmark
ERR1065129,17,17F,17,Training,GPS benchmark
ERR900699,14,6B,6,Training,GPS benchmark
ERR900699,18,6B,6,Training,GPS benchmark
ERR913085,1,16F,16,Training,GPS benchmark
SRR26749664,1,16F,16,Training,GPS benchmark
ERR2091088,3,14,14,Training,GPS benchmark
ERR2091088,18,14,14,Training,GPS benchmark
SRR26880066,5,8,8,Training,GPS benchmark
ERR2680984,6,23F,23,Training,GPS benchmark
ERR2680984,12,23F,23,Training,GPS benchmark
ERR1788255,2,35C,35,Training,GPS benchmark
SRR26673001,3,22F,22,Training,GPS benchmark
SRR26673001,5,22F,22,Training,GPS benchmark
ERR1192107,5,19A,19,Training,GPS benchmark
SRR26749193,3,35F,35,Training,GPS benchmark
ERR1430886,2,15B/C,15,Training,GPS benchmark
ERR1430886,47,15B/C,15,Training,GPS benchmark
SRR26818604,2,8,8,Training,GPS benchmark
SRR26818604,5,8,8,Training,GPS benchmark
SRR26818385,2,22F,22,Training,GPS benchmark
SRR26818385,4,22F,22,Training,GPS benchmark
ERR1202491,1,23F,23,Testing,GPS benchmark
SRR26931086,14,10A,10,Training,GPS benchmark
SRR26931086,26,10A,10,Training,GPS benchmark
ERR568653,4,9V,9,Training,GPS benchmark
ERR568653,27,9V,9,Training,GPS benchmark
ERR13365283,4,23A,23,Training,GPS benchmark
ERR1453463,1,21,21,Training,GPS benchmark
ERR1453463,16,21,21,Training,GPS benchmark
ERR3796614,2,24F,24,Training,GPS benchmark
ERR2667127,2,3,3,Training,GPS benchmark
ERR730498,1,9V,9,Training,GPS benchmark
ERR326704,1,8,8,Training,GPS benchmark
ERR633081,1,8,8,Training,GPS benchmark
ERR862428,5,22A,22,Training,GPS benchmark
ERR862428,23,22A,22,Training,GPS benchmark
ERR13366155,2,22F,22,Training,GPS benchmark
ERR13366155,28,22F,22,Training,GPS benchmark
ERR1788291,2,3,3,Training,GPS benchmark
SRR26884658,1,35B,35,Training,GPS benchmark
ERR714159,2,35D,35,Training,GPS benchmark
ERR714159,3,35D,35,Training,GPS benchmark
SRR26878707,15,10A,10,Training,GPS benchmark
SRR26878707,28,10A,10,Training,GPS benchmark
ERR326542,29,19F,19,Training,GPS benchmark
ERR326542,34,19F,19,Training,GPS benchmark
SRR26595086,2,6C,6,Training,GPS benchmark
SRR26884466,2,8,8,Training,GPS benchmark
SRR26884466,6,8,8,Training,GPS benchmark
ERR1430812,1,23B,23,Training,GPS benchmark
ERR2090517,2,1,1,Training,GPS benchmark
ERR2090517,4,1,1,Training,GPS benchmark
SRR26714870,1,9N,9,Training,GPS benchmark
SRR26714870,6,9N,9,Training,GPS benchmark
SRR26797944,5,3,3,Testing,GPS benchmark
ERR1214640,8,6B,6,Training,GPS benchmark
ERR600143,2,38,38,Training,GPS benchmark
ERR600143,5,38,38,Training,GPS benchmark
ERR13365199,1,15A,15,Training,GPS benchmark
ERR1214647,5,6C,6,Training,GPS benchmark
ERR600227,2,22F,22,Training,GPS benchmark
ERR600227,6,22F,22,Training,GPS benchmark
SRR26878552,2,6C,6,Training,GPS benchmark
SRR26878552,8,6C,6,Training,GPS benchmark
SRR26878087,2,8,8,Training,GPS benchmark
SRR26878087,4,8,8,Training,GPS benchmark
ERR742604,12,7F,7,Training,GPS benchmark
ERR742604,53,7F,7,Training,GPS benchmark
ERR980355,5,35D,35,Training,GPS benchmark
ERR980355,7,35D,35,Training,GPS benchmark
ERR1066363,13,15B/C,15,Training,GPS benchmark
ERR1066363,24,15B/C,15,Training,GPS benchmark
ERR870220,2,8,8,Training,GPS benchmark
ERR870220,13,8,8,Training,GPS benchmark
ERR3227796,1,19F,19,Testing,GPS benchmark
ERR714664,1,6A,6,Training,GPS benchmark
ERR714664,15,6A,6,Training,GPS benchmark
ERR2090438,20,1,1,Training,GPS benchmark
ERR2090438,43,1,1,Training,GPS benchmark
ERR980075,1,19A,19,Training,GPS benchmark
SRR26714950,1,31,31,Training,GPS benchmark
ERR1202425,2,3,3,Testing,GPS benchmark
SRR26714418,1,8,8,Training,GPS benchmark
ERR3303146,20,6B,6,Training,GPS benchmark
ERR3303146,24,6B,6,Training,GPS benchmark
ERR1453491,8,12F,12,Training,GPS benchmark
SRR26910518,2,3,3,Training,GPS benchmark
SRR26884175,2,8,8,Training,GPS benchmark
SRR26884175,7,8,8,Training,GPS benchmark
ERR2090701,2,23B,23,Training,GPS benchmark
ERR2090701,30,23B,23,Training,GPS benchmark
ERR1788547,1,19F,19,Training,GPS benchmark
ERR1788547,18,19F,19,Training,GPS benchmark
ERR1788275,5,7F,7,Training,GPS benchmark
ERR316592,1,23F,23,Training,GPS benchmark
ERR742644,7,19A,19,Training,GPS benchmark
ERR742644,11,19A,19,Training,GPS benchmark
SRR26883991,10,19F,19,Training,GPS benchmark
SRR26883991,27,19F,19,Training,GPS benchmark
ERR311071,6,23F,23,Training,GPS benchmark
ERR2090685,3,5,5,Training,GPS benchmark
ERR2090685,25,5,5,Training,GPS benchmark
ERR2681160,1,16F,16,Training,GPS benchmark
ERR316904,24,18C,18,Training,GPS benchmark
ERR316904,25,18C,18,Training,GPS benchmark
SRR26818422,3,22F,22,Training,GPS benchmark
SRR26818422,30,22F,22,Training,GPS benchmark
ERR3796768,1,24F,24,Training,GPS benchmark
SRR26797197,1,10A,10,Training,GPS benchmark
SRR26797197,27,10A,10,Training,GPS benchmark
ERR2681369,1,19A,19,Training,GPS benchmark
ERR751158,2,14,14,Training,GPS benchmark
ERR751158,25,14,14,Training,GPS benchmark
SRR26749459,2,19A,19,Training,GPS benchmark
SRR26749459,29,19A,19,Training,GPS benchmark
ERR4289115,4,15C,15,Training,GPS benchmark
SRR26818566,20,19F,19,Training,GPS benchmark
SRR26818566,26,19F,19,Training,GPS benchmark
ERR730252,2,6A,6,Training,GPS benchmark
SRR26910359,1,8,8,Training,GPS benchmark
SRR26818583,2,17F,17,Training,GPS benchmark
SRR26818583,15,17F,17,Training,GPS benchmark
SRR26789626,1,9N,9,Training,GPS benchmark
ERR884409,5,15B/C,15,Testing,GPS benchmark
SRR26818646,4,8,8,Testing,GPS benchmark
SRR26818646,5,8,8,Testing,GPS benchmark
ERR1658089,6,16F,16,Training,GPS benchmark
ERR1658089,16,16F,16,Training,GPS benchmark
SRR26789729,2,8,8,Training,GPS benchmark
SRR26789729,5,8,8,Training,GPS benchmark
SRR26879514,12,15B,15,Training,GPS benchmark
SRR26879514,34,15B,15,Training,GPS benchmark
ERR1065299,16,15B/C,15,Training,GPS benchmark
ERR1065299,22,15B/C,15,Training,GPS benchmark
SRR26884074,2,8,8,Training,GPS benchmark
ERR633117,1,19A,19,Training,GPS benchmark
SRR26910802,1,31,31,Training,GPS benchmark
ERR13364666,1,14,14,Training,GPS benchmark
ERR13364666,22,14,14,Training,GPS benchmark
ERR730145,11,34,34,Testing,GPS benchmark
ERR730145,13,34,34,Testing,GPS benchmark
ERR8481697,6,12F,12,Training,GPS benchmark
ERR13366243,5,14,14,Training,GPS benchmark
ERR13366243,9,14,14,Training,GPS benchmark
ERR596385,4,7C,7,Training,GPS benchmark
ERR596385,16,7C,7,Training,GPS benchmark
ERR730300,6,6A,6,Training,GPS benchmark
ERR730300,27,6A,6,Training,GPS benchmark
ERR701869,1,6A,6,Testing,GPS benchmark
ERR701869,19,6A,6,Testing,GPS benchmark
ERR570434,8,14,14,Training,GPS benchmark
ERR570434,10,14,14,Training,GPS benchmark
ERR13366013,4,3,3,Training,GPS benchmark
SRR26877821,4,3,3,Training,GPS benchmark
ERR1202082,5,5,5,Training,GPS benchmark
ERR1202082,24,5,5,Training,GPS benchmark
ERR490769,1,19A,19,Training,GPS benchmark
ERR862521,1,4,4,Training,GPS benchmark
ERR862521,12,4,4,Training,GPS benchmark
ERR8481847,2,7C,7,Training,GPS benchmark
ERR8481847,6,7C,7,Training,GPS benchmark
ERR774289,1,13,13,Training,GPS benchmark
ERR774289,13,13,13,Training,GPS benchmark
SRR26930379,2,19A,19,Training,GPS benchmark
ERR997639,1,4,4,Training,GPS benchmark
ERR997639,24,4,4,Training,GPS benchmark
SRR26595024,21,6C,6,Training,GPS benchmark
SRR26749815,2,23A,23,Training,GPS benchmark
ERR750951,1,3,3,Training,GPS benchmark
SRR26880302,7,15A,15,Training,GPS benchmark
SRR26880302,21,15A,15,Training,GPS benchmark
ERR1430980,1,23F,23,Training,GPS benchmark
ERR1192032,1,21,21,Training,GPS benchmark
ERR1192032,16,21,21,Training,GPS benchmark
ERR876712,1,6B,6,Training,GPS benchmark
ERR505639,5,14,14,Testing,GPS benchmark
ERR505639,73,14,14,Testing,GPS benchmark
SRR26594501,1,8,8,Training,GPS benchmark
ERR876790,1,15B/C,15,Training,GPS benchmark
ERR326342,93,3,3,Training,GPS benchmark
SRR26834376,3,9V,9,Training,GPS benchmark
SRR26834376,18,9V,9,Training,GPS benchmark
ERR2667839,18,5,5,Training,GPS benchmark
ERR2667839,19,5,5,Training,GPS benchmark
ERR925181,1,23B,23,Training,GPS benchmark
SRR26818234,2,22F,22,Training,GPS benchmark
SRR26818234,8,22F,22,Training,GPS benchmark
SRR26595049,1,8,8,Training,GPS benchmark
SRR26595049,7,8,8,Training,GPS benchmark
ERR568660,3,1,1,Training,GPS benchmark
ERR568660,6,1,1,Training,GPS benchmark
SRR26790199,2,11A,11,Training,GPS benchmark
ERR14653925,2,23F,23,Training,GPS benchmark
ERR2680703,2,33B,33,Training,GPS benchmark
ERR2680703,7,33B,33,Training,GPS benchmark
ERR925192,3,16F,16,Training,GPS benchmark
ERR316712,19,23F,23,Training,GPS benchmark
SRR26714318,1,19A,19,Training,GPS benchmark
SRR26910890,1,12F,12,Training,GPS benchmark
SRR26910890,9,12F,12,Training,GPS benchmark
SRR26910994,3,35B,35,Training,GPS benchmark
SRR26910994,7,35B,35,Training,GPS benchmark
SRR26931791,1,3,3,Training,GPS benchmark
ERR2091264,7,15B/C,15,Training,GPS benchmark
ERR2091264,8,15B/C,15,Training,GPS benchmark
ERR1191977,1,21,21,Training,GPS benchmark
ERR1191977,14,21,21,Training,GPS benchmark
ERR3796833,5,24F,24,Training,GPS benchmark
SRR26749318,4,22F,22,Testing,GPS benchmark
SRR26749318,9,22F,22,Testing,GPS benchmark
ERR2680863,10,6B,6,Training,GPS benchmark
ERR870106,6,5,5,Training,GPS benchmark
ERR870106,22,5,5,Training,GPS benchmark
ERR1540676,18,15B/C,15,Training,GPS benchmark
ERR1540676,96,15B/C,15,Training,GPS benchmark
SRR26594908,2,33F,33,Training,GPS benchmark
SRR26594908,18,33F,33,Training,GPS benchmark
ERR1191906,3,8,8,Training,GPS benchmark
ERR1191906,18,8,8,Training,GPS benchmark
SRR26595130,1,24,24,Training,GPS benchmark
SRR26789693,3,8,8,Training,GPS benchmark
SRR26789693,5,8,8,Training,GPS benchmark
SRR26595008,1,8,8,Training,GPS benchmark
SRR26595008,7,8,8,Training,GPS benchmark
ERR1066029,8,21,21,Training,GPS benchmark
ERR1066029,22,21,21,Training,GPS benchmark
SRR26672759,12,23A,23,Testing,GPS benchmark
ERR1065715,9,19F,19,Training,GPS benchmark
ERR1065715,14,19F,19,Training,GPS benchmark
ERR2667549,17,5,5,Testing,GPS benchmark
ERR2667549,18,5,5,Testing,GPS benchmark
ERR1288919,2,6B,6,Training,GPS benchmark
ERR884372,10,14,14,Training,GPS benchmark
ERR884372,25,14,14,Training,GPS benchmark
ERR730331,8,9L,9,Training,GPS benchmark
ERR730331,10,9L,9,Training,GPS benchmark
ERR750790,24,6C,6,Training,GPS benchmark
ERR750790,45,6C,6,Training,GPS benchmark
SRR26833752,1,19A,19,Training,GPS benchmark
ERR1453654,4,11A,11,Testing,GPS benchmark
ERR1453654,15,11A,11,Testing,GPS benchmark
ERR1065858,2,1,1,Training,GPS benchmark
ERR1065858,8,1,1,Training,GPS benchmark
SRR26750110,1,3,3,Training,GPS benchmark
ERR913261,1,19A,19,Training,GPS benchmark
ERR646588,1,6B,6,Training,GPS benchmark
ERR646588,2,6B,6,Training,GPS benchmark
ERR2667477,1,6A,6,Training,GPS benchmark
ERR2667477,29,6A,6,Training,GPS benchmark
ERR2090866,3,19F,19,Training,GPS benchmark
ERR984269,8,9L,9,Training,GPS benchmark
ERR984269,12,9L,9,Training,GPS benchmark
SRR26884584,5,33F,33,Training,GPS benchmark
SRR26884584,16,33F,33,Training,GPS benchmark
SRR26672893,2,8,8,Training,GPS benchmark
SRR26672893,4,8,8,Training,GPS benchmark
ERR646567,10,14,14,Training,GPS benchmark
ERR646567,16,14,14,Training,GPS benchmark
ERR774109,12,12F,12,Training,GPS benchmark
ERR774109,30,12F,12,Training,GPS benchmark
ERR3303237,2,23F,23,Training,GPS benchmark
ERR869969,1,13,13,Training,GPS benchmark
SRR26749412,2,8,8,Training,GPS benchmark
SRR26749412,5,8,8,Training,GPS benchmark
SRR26714957,2,10A,10,Training,GPS benchmark
SRR26714957,25,10A,10,Training,GPS benchmark
ERR884433,1,4,4,Training,GPS benchmark
ERR884433,4,4,4,Training,GPS benchmark
SRR26910991,4,8,8,Training,GPS benchmark
SRR26910991,12,8,8,Training,GPS benchmark
ERR13364423,12,14,14,Training,GPS benchmark
ERR13364423,13,14,14,Training,GPS benchmark
ERR13365396,2,22F,22,Training,GPS benchmark
ERR884503,11,6B,6,Training,GPS benchmark
ERR662360,2,19F,19,Training,GPS benchmark
ERR662360,6,19F,19,Training,GPS benchmark
ERR3796896,5,24F,24,Training,GPS benchmark
ERR1214631,15,6B,6,Training,GPS benchmark
ERR742675,9,7F,7,Training,GPS benchmark
ERR742675,32,7F,7,Training,GPS benchmark
ERR1065378,3,19A,19,Testing,GPS benchmark
SRR26834471,2,8,8,Training,GPS benchmark
SRR26834471,5,8,8,Training,GPS benchmark
SRR26789670,1,12F,12,Training,GPS benchmark
SRR26789670,7,12F,12,Training,GPS benchmark
ERR1788368,15,14,14,Testing,GPS benchmark
ERR1788368,28,14,14,Testing,GPS benchmark
ERR1202228,1,23F,23,Training,GPS benchmark
ERR331175,8,6C,6,Training,GPS benchmark
ERR331175,49,6C,6,Training,GPS benchmark
SRR26797419,6,19F,19,Training,GPS benchmark
SRR26797419,10,19F,19,Training,GPS benchmark
ERR909121,15,17F,17,Testing,GPS benchmark
ERR909121,17,17F,17,Testing,GPS benchmark
SRR26797442,6,3,3,Training,GPS benchmark
SRR26818603,5,20B,20,Training,GPS benchmark
SRR26818603,14,20B,20,Training,GPS benchmark
SRR26789254,1,10A,10,Testing,GPS benchmark
SRR26789254,27,10A,10,Testing,GPS benchmark
ERR730157,2,39,39,Training,GPS benchmark
SRR26910444,2,8,8,Training,GPS benchmark
ERR913213,1,19F,19,Testing,GPS benchmark
ERR913213,7,19F,19,Testing,GPS benchmark
ERR751176,24,6B,6,Training,GPS benchmark
ERR751176,27,6B,6,Training,GPS benchmark
ERR1065498,4,17F,17,Testing,GPS benchmark
ERR1065498,6,17F,17,Testing,GPS benchmark
SRR26884494,19,15A,15,Training,GPS benchmark
SRR26884494,21,15A,15,Training,GPS benchmark
ERR600376,5,33D,33,Training,GPS benchmark
ERR600376,18,33D,33,Training,GPS benchmark
SRR26673153,3,33F,33,Training,GPS benchmark
SRR26877946,17,15A,15,Training,GPS benchmark
SRR26877946,18,15A,15,Training,GPS benchmark
SRR26879737,3,6C,6,Training,GPS benchmark
ERR568704,2,3,3,Training,GPS benchmark
ERR326766,2,23F,23,Training,GPS benchmark
SRR26673717,30,3,3,Training,GPS benchmark
ERR1066370,1,8,8,Training,GPS benchmark
ERR2853617,4,19A,19,Training,GPS benchmark
ERR751138,1,23F,23,Training,GPS benchmark
SRR26910923,1,12F,12,Testing,GPS benchmark
SRR26910923,10,12F,12,Testing,GPS benchmark
ERR742356,2,9V,9,Training,GPS benchmark
ERR742356,25,9V,9,Training,GPS benchmark
ERR1066366,6,21,21,Training,GPS benchmark
ERR1066366,26,21,21,Training,GPS benchmark
ERR1214459,1,11A,11,Training,GPS benchmark
ERR1422659,9,6B,6,Training,GPS benchmark
ERR2089083,1,23B,23,Training,GPS benchmark
ERR2089083,28,23B,23,Training,GPS benchmark
SRR26930830,2,8,8,Training,GPS benchmark
SRR26930830,7,8,8,Training,GPS benchmark
ERR2090135,1,9V,9,Training,GPS benchmark
ERR2818762,1,19A,19,Training,GPS benchmark
ERR884394,1,19A,19,Training,GPS benchmark
SRR26883972,3,8,8,Testing,GPS benchmark
SRR26883972,8,8,8,Testing,GPS benchmark
ERR3227761,3,14,14,Training,GPS benchmark
ERR316793,3,16F,16,Training,GPS benchmark
SRR26797549,1,15A,15,Training,GPS benchmark
ERR1106644,9,12F,12,Training,GPS benchmark
ERR506036,6,22F,22,Training,GPS benchmark
ERR506036,27,22F,22,Training,GPS benchmark
ERR714329,12,12F,12,Training,GPS benchmark
ERR714329,25,12F,12,Training,GPS benchmark
ERR2667800,18,5,5,Training,GPS benchmark
ERR2667800,29,5,5,Training,GPS benchmark
SRR26878153,1,7C,7,Training,GPS benchmark
SRR26931783,1,10A,10,Training,GPS benchmark
SRR26931783,24,10A,10,Training,GPS benchmark
SRR26834503,1,19F,19,Training,GPS benchmark
SRR26834503,10,19F,19,Training,GPS benchmark
ERR13375067,1,23F,23,Training,GPS benchmark
ERR13375067,7,23F,23,Training,GPS benchmark
ERR2089037,1,23B,23,Training,GPS benchmark
ERR600442,13,23F,23,Training,GPS benchmark
ERR600442,16,23F,23,Training,GPS benchmark
SRR26594639,3,9N,9,Training,GPS benchmark
SRR26594639,37,9N,9,Training,GPS benchmark
ERR1788066,1,18C,18,Training,GPS benchmark
SRR26714319,1,15B,15,Training,GPS benchmark
SRR26880231,2,8,8,Testing,GPS benchmark
SRR26880231,7,8,8,Testing,GPS benchmark
ERR1453677,2,11A,11,Training,GPS benchmark
ERR2853491,1,19A,19,Training,GPS benchmark
ERR2089866,3,9N,9,Training,GPS benchmark
ERR2089866,7,9N,9,Training,GPS benchmark
ERR2090876,5,14,14,Training,GPS benchmark
ERR2090876,17,14,14,Training,GPS benchmark
ERR3270763,1,10A,10,Training,GPS benchmark
ERR980216,1,24F,24,Training,GPS benchmark
ERR1422419,1,6B,6,Training,GPS benchmark
ERR13364595,8,14,14,Training,GPS benchmark
ERR13364595,11,14,14,Training,GPS benchmark
ERR884354,1,19F,19,Training,GPS benchmark
ERR884354,16,19F,19,Training,GPS benchmark
ERR913222,2,23F,23,Training,GPS benchmark
ERR331154,30,6B,6,Training,GPS benchmark
ERR331154,44,6B,6,Training,GPS benchmark
ERR662386,2,12F,12,Training,GPS benchmark
ERR662386,26,12F,12,Training,GPS benchmark
ERR13374848,11,31,31,Training,GPS benchmark
ERR13374848,61,31,31,Training,GPS benchmark
ERR750809,1,23F,23,Training,GPS benchmark
ERR2090626,1,5,5,Training,GPS benchmark
ERR2090626,24,5,5,Training,GPS benchmark
ERR14653975,4,6B,6,Testing,GPS benchmark
SRR26797230,2,8,8,Training,GPS benchmark
SRR26797230,4,8,8,Training,GPS benchmark
ERR1066195,1,15A,15,Training,GPS benchmark
ERR1066195,9,15A,15,Training,GPS benchmark
ERR979888,1,24F,24,Training,GPS benchmark
ERR1065349,1,11A,11,Testing,GPS benchmark
ERR2090758,3,12F,12,Training,GPS benchmark
ERR2090758,24,12F,12,Training,GPS benchmark
ERR2667836,9,14,14,Training,GPS benchmark
ERR2667836,10,14,14,Training,GPS benchmark
ERR773976,2,18C,18,Training,GPS benchmark
ERR773976,16,18C,18,Training,GPS benchmark
ERR3796657,6,24F,24,Training,GPS benchmark
ERR331449,2,23F,23,Training,GPS benchmark
ERR1065936,4,19F,19,Training,GPS benchmark
ERR714406,2,19A,19,Training,GPS benchmark
ERR714406,59,19A,19,Training,GPS benchmark
SRR26930408,1,9N,9,Training,GPS benchmark
SRR26930408,5,9N,9,Training,GPS benchmark
SRR26931703,3,22F,22,Training,GPS benchmark
SRR26931703,14,22F,22,Training,GPS benchmark
SRR26714188,1,3,3,Training,GPS benchmark
ERR3899450,2,14,14,Training,GPS benchmark
ERR3899450,19,14,14,Training,GPS benchmark
ERR1066243,3,16F,16,Training,GPS benchmark
SRR26673027,3,33F,33,Training,GPS benchmark
SRR26673027,19,33F,33,Training,GPS benchmark
SRR26834155,1,3,3,Training,GPS benchmark
SRR26833670,1,6C,6,Training,GPS benchmark
ERR1106757,4,15A,15,Testing,GPS benchmark
SRR26880386,2,3,3,Testing,GPS benchmark
ERR701795,1,29,29,Training,GPS benchmark
ERR449147,1,6B,6,Training,GPS benchmark
ERR2667550,14,5,5,Training,GPS benchmark
ERR2667550,17,5,5,Training,GPS benchmark
ERR7568057,5,6E,6,Training,GPS benchmark
ERR7568057,17,6E,6,Training,GPS benchmark
ERR742755,7,13,13,Training,GPS benchmark
ERR742755,34,13,13,Training,GPS benchmark
ERR714343,22,5,5,Training,GPS benchmark
ERR714343,23,5,5,Training,GPS benchmark
ERR1288896,3,19F,19,Training,GPS benchmark
ERR1288896,4,19F,19,Training,GPS benchmark
SRR26749787,1,8,8,Training,GPS benchmark
SRR26797156,4,3,3,Training,GPS benchmark
ERR1453514,3,35B,35,Training,GPS benchmark
ERR1453514,5,35B,35,Training,GPS benchmark
ERR13365180,1,23F,23,Training,GPS benchmark
ERR1214328,14,34,34,Training,GPS benchmark
SRR26818319,1,9N,9,Testing,GPS benchmark
SRR26818319,5,9N,9,Testing,GPS benchmark
ERR505483,3,19F,19,Training,GPS benchmark
ERR505483,9,19F,19,Training,GPS benchmark
ERR1288877,1,19A,19,Training,GPS benchmark
SRR26714252,16,3,3,Training,GPS benchmark
ERR13365941,1,15B,15,Training,GPS benchmark
ERR7568060,15,19F,19,Training,GPS benchmark
ERR7568060,20,19F,19,Training,GPS benchmark
