sample_id,true_serotype,true_serogroup,ALLCAPS,ProkBERT,benchmark
SRR26910531,8,8,8,8,GPS benchmark
SRR26797017,3,3,3,3,GPS benchmark
SRR26749728,8,8,8,8,GPS benchmark
SRR26884016,8,8,8,8,GPS benchmark
SRR26884089,9V,9,9V,9V,GPS benchmark
SRR26879656,11A,11,11A,11D,GPS benchmark
ERR1065742,23F,23,23F,23F,GPS benchmark
ERR913554,14,14,14,14,GPS benchmark
SRR26879747,6C,6,6C,6C,GPS benchmark
ERR14654001,3,3,3,3,GPS benchmark
SRR26797745,23B,23,23B,23B,GPS benchmark
SRR26714358,19A,19,19A,19A,GPS benchmark
ERR2667816,14,14,14,14,GPS benchmark
SRR26878507,3,3,3,3,GPS benchmark
SRR26714487,22F,22,22F,22F,GPS benchmark
SRR26594906,22F,22,22F,22F,GPS benchmark
SRR26879902,16F,16,16F,4,GPS benchmark
ERR774136,23B,23,23B,23B,GPS benchmark
ERR2853675,19A,19,19A,19A,GPS benchmark
ERR2667451,13,13,13,13,GPS benchmark
ERR750820,33F,33,33F,33F,GPS benchmark
ERR2089719,23F,23,23F,23F,GPS benchmark
SRR26884387,35B,35,35B,35B,GPS benchmark
ERR13366179,19F,19,19F,19F,GPS benchmark
SRR26931681,22F,22,22F,22F,GPS benchmark
SRR26931782,22F,22,22F,22F,GPS benchmark
ERR2667902,3,3,3,3,GPS benchmark
ERR714461,6B,6,6B,6B,GPS benchmark
ERR600142,38,38,38,38,GPS benchmark
SRR26879456,9N,9,9N,9N,GPS benchmark
ERR913318,21,21,21,21,GPS benchmark
SRR26594559,12F,12,12F,12F,GPS benchmark
ERR3831139,24F,24,24F,24F,GPS benchmark
ERR876686,16F,16,16F,16F,GPS benchmark
ERR870015,13,13,13,13,GPS benchmark
ERR319313,6A,6,6B,19A,GPS benchmark
ERR13365220,14,14,14,14,GPS benchmark
ERR3796700,24F,24,24F,24F,GPS benchmark
SRR26673104,12F,12,12F,12F,GPS benchmark
ERR13364758,14,14,14,14,GPS benchmark
ERR730613,9N,9,9N,9N,GPS benchmark
SRR26930371,11E,11,11A,11E,GPS benchmark
SRR26930997,16F,16,16F,4,GPS benchmark
ERR980092,14,14,14,14,GPS benchmark
SRR26931036,8,8,8,8,GPS benchmark
SRR26879810,3,3,3,3,GPS benchmark
SRR26834228,35F,35,35F,35F,GPS benchmark
SRR26673663,12F,12,12F,12F,GPS benchmark
ERR1788264,6C,6,6C,6C,GPS benchmark
ERR7568020,9N,9,9N,9N,GPS benchmark
SRR26834239,8,8,8,8,GPS benchmark
SRR26818550,3,3,3,3,GPS benchmark
ERR1065197,23A,23,23A,23A,GPS benchmark
ERR1540677,19A,19,19A,19A,GPS benchmark
ERR909103,35B,35,35B,35B,GPS benchmark
ERR980161,6C,6,6C,6C,GPS benchmark
ERR14653963,4,4,4,4,GPS benchmark
SRR26714840,12F,12,12F,12F,GPS benchmark
ERR742353,19A,19,19A,19A,GPS benchmark
ERR568749,1,1,1,1,GPS benchmark
ERR1065896,19F,19,19F,19F,GPS benchmark
ERR1066130,6B,6,6B,6B,GPS benchmark
ERR979987,23F,23,23F,23F,GPS benchmark
ERR730318,6B,6,6B,6E,GPS benchmark
ERR505554,19F,19,19F,19F,GPS benchmark
SRR26930474,8,8,8,8,GPS benchmark
SRR26789944,8,8,8,8,GPS benchmark
SRR26789424,22F,22,22F,22F,GPS benchmark
SRR26749543,10A,10,10A,10A,GPS benchmark
ERR1788375,23F,23,23F,23F,GPS benchmark
SRR26880198,15A,15,15A,15A,GPS benchmark
SRR26714973,31,31,31,31,GPS benchmark
SRR26879937,12F,12,12F,12F,GPS benchmark
ERR876562,14,14,14,14,GPS benchmark
ERR505751,23B,23,23B,23B,GPS benchmark
ERR2090924,20,20,20B,20B,GPS benchmark
ERR2090191,18B,18,18C,18B,GPS benchmark
ERR870267,20A,20,20A,20,GPS benchmark
ERR1788370,3,3,3,3,GPS benchmark
SRR26749803,3,3,3,3,GPS benchmark
SRR26673171,19F,19,19F,19F,GPS benchmark
SRR26594460,11A,11,11A,11E,GPS benchmark
ERR568513,14,14,14,14,GPS benchmark
SRR26931088,8,8,8,8,GPS benchmark
SRR26797702,11A,11,11A,11A,GPS benchmark
ERR340842,3,3,3,3,GPS benchmark
ERR3270712,19A,19,19A,19A,GPS benchmark
ERR13365618,3,3,3,3,GPS benchmark
SRR26910534,15A,15,15A,15A,GPS benchmark
SRR26714653,12F,12,12F,12F,GPS benchmark
SRR26595141,22F,22,22F,22F,GPS benchmark
ERR1202614,14,14,14,14,GPS benchmark
ERR997673,48,48,48,48,GPS benchmark
ERR2090997,9V,9,9V,9V,GPS benchmark
ERR434027,23F,23,23F,23F,GPS benchmark
SRR26884001,15A,15,15A,15A,GPS benchmark
ERR2667317,6B,6,6A,6A,GPS benchmark
SRR26880221,8,8,8,8,GPS benchmark
SRR26673006,22F,22,22F,22F,GPS benchmark
ERR632975,9V,9,9V,9V,GPS benchmark
SRR26880385,12F,12,12F,12F,GPS benchmark
ERR600199,10A,10,10A,10A,GPS benchmark
ERR742830,6B,6,6B,6B,GPS benchmark
SRR26797113,4,4,4,4,GPS benchmark
ERR1065898,1,1,1,1,GPS benchmark
ERR568670,19A,19,19A,19A,GPS benchmark
ERR600567,14,14,14,14,GPS benchmark
ERR1065759,19F,19,19F,19F,GPS benchmark
ERR984265,39,39,39,39,GPS benchmark
ERR568574,14,14,14,14,GPS benchmark
SRR26789661,9N,9,9N,9N,GPS benchmark
ERR14653970,6E,6,6B,6E,GPS benchmark
SRR26714269,8,8,8,8,GPS benchmark
SRR26714920,12F,12,12F,12F,GPS benchmark
ERR913403,6A,6,6A,6A,GPS benchmark
SRR26594835,9V,9,9V,9V,GPS benchmark
ERR1453390,19F,19,19F,19F,GPS benchmark
ERR774024,8,8,8,8,GPS benchmark
ERR1756451,19A,19,19A,19A,GPS benchmark
ERR884327,14,14,14,14,GPS benchmark
ERR490757,19A,19,19A,19A,GPS benchmark
SRR26714787,19F,19,19F,19F,GPS benchmark
SRR26880131,15A,15,15A,15A,GPS benchmark
SRR26797777,8,8,8,8,GPS benchmark
SRR26879772,10A,10,10A,10A,GPS benchmark
ERR2091215,5,5,5,33B,GPS benchmark
ERR876518,38,38,38,38,GPS benchmark
ERR586445,19A,19,19A,19A,GPS benchmark
SRR26931599,8,8,8,8,GPS benchmark
SRR26884427,8,8,8,8,GPS benchmark
SRR26834241,10A,10,10A,10A,GPS benchmark
SRR26880280,16F,16,16F,4,GPS benchmark
ERR730368,14,14,14,14,GPS benchmark
ERR884504,8,8,8,8,GPS benchmark
ERR1202488,19F,19,19F,19F,GPS benchmark
SRR26818242,23B,23,23B,23B,GPS benchmark
SRR26797756,23A,23,23A,23A,GPS benchmark
SRR26797970,8,8,8,8,GPS benchmark
ERR13374990,35B,35,35B,35B,GPS benchmark
ERR433743,14,14,14,14,GPS benchmark
SRR26789319,9N,9,9N,9N,GPS benchmark
ERR568450,19A,19,19A,19A,GPS benchmark
ERR1430903,11A,11,11A,11A,GPS benchmark
ERR730219,6A,6,6A,6A,GPS benchmark
ERR714188,12F,12,12F,12F,GPS benchmark
SRR26714780,23B,23,23B,23B,GPS benchmark
ERR319385,6C,6,6C,6C,GPS benchmark
ERR662389,15A,15,15A,15A,GPS benchmark
SRR26910689,11A,11,11A,11E,GPS benchmark
ERR913195,19A,19,19A,19A,GPS benchmark
ERR870031,6A,6,6A,6A,GPS benchmark
SRR26878308,9V,9,9V,9V,GPS benchmark
SRR26910538,8,8,8,8,GPS benchmark
ERR7567948,14,14,14,14,GPS benchmark
ERR1214356,5,5,5,5,GPS benchmark
ERR316814,19F,19,19F,19F,GPS benchmark
SRR26880152,9V,9,9V,9V,GPS benchmark
SRR26789655,22F,22,22F,22F,GPS benchmark
SRR26834487,8,8,8,8,GPS benchmark
ERR876608,14,14,14,14,GPS benchmark
ERR568455,14,14,14,14,GPS benchmark
SRR26594556,35F,35,35F,35F,GPS benchmark
ERR701822,14,14,14,14,GPS benchmark
ERR1422546,19F,19,19F,19F,GPS benchmark
ERR331457,1,1,1,1,GPS benchmark
ERR13375077,3,3,3,3,GPS benchmark
ERR14653928,4,4,4,4,GPS benchmark
ERR1066226,8,8,8,8,GPS benchmark
SRR26714669,6C,6,6C,6C,GPS benchmark
ERR1065480,23A,23,23A,23A,GPS benchmark
ERR1214596,23F,23,23F,23F,GPS benchmark
SRR26834127,8,8,8,8,GPS benchmark
ERR2091141,24F,24,24F,24F,GPS benchmark
ERR568485,14,14,14,18C,GPS benchmark
ERR13374836,35B,35,35B,35B,GPS benchmark
ERR2853479,19A,19,19A,19A,GPS benchmark
ERR1453607,15F,15,15F,15F,GPS benchmark
ERR774135,19A,19,19A,19A,GPS benchmark
SRR26877855,20B,20,20B,20B,GPS benchmark
ERR316623,9V,9,9V,10A,GPS benchmark
SRR26878351,22F,22,22F,22F,GPS benchmark
SRR26878255,22F,22,22F,22F,GPS benchmark
SRR26931657,35B,35,35B,35B,GPS benchmark
ERR570405,18A,18,18A,18A,GPS benchmark
SRR26884353,12F,12,12F,12F,GPS benchmark
SRR26879868,22F,22,22F,22F,GPS benchmark
ERR909042,16F,16,16F,16F,GPS benchmark
ERR1202245,19B,19,19B,19B,GPS benchmark
ERR997568,14,14,14,14,GPS benchmark
ERR3796948,24F,24,24F,24F,GPS benchmark
SRR26910466,16F,16,16F,16F,GPS benchmark
SRR26749223,12F,12,12F,12F,GPS benchmark
ERR1191841,7F,7,7F,7F,GPS benchmark
ERR13364821,3,3,3,3,GPS benchmark
ERR3332135,7B,7,7B,7B,GPS benchmark
ERR13365921,3,3,3,3,GPS benchmark
ERR3796775,24F,24,24F,24F,GPS benchmark
SRR26883926,20B,20,20B,20B,GPS benchmark
ERR516630,6A,6,6B,6A,GPS benchmark
SRR26817884,33F,33,33F,33F,GPS benchmark
SRR26910513,15B,15,15B,15B,GPS benchmark
SRR26910665,8,8,8,8,GPS benchmark
ERR3303358,7C,7,7C,7C,GPS benchmark
ERR3303252,33B,33,33B,33B,GPS benchmark
SRR26673607,10A,10,10A,10A,GPS benchmark
SRR26714762,23A,23,23A,22F,GPS benchmark
SRR26910870,12F,12,12F,12F,GPS benchmark
ERR1453802,18F,18,18F,18F,GPS benchmark
ERR505756,19A,19,19A,19A,GPS benchmark
SRR26879955,15A,15,15A,15A,GPS benchmark
ERR13364775,11A,11,11A,11E,GPS benchmark
ERR2667564,5,5,5,5,GPS benchmark
SRR26880297,22F,22,22F,22F,GPS benchmark
ERR750827,18A,18,18A,18A,GPS benchmark
SRR26818107,33F,33,33F,37,GPS benchmark
SRR26931787,12F,12,12F,12F,GPS benchmark
SRR26789427,4,4,4,4,GPS benchmark
ERR7567890,13,13,13,13,GPS benchmark
ERR13364492,9N,9,9N,9N,GPS benchmark
SRR26884615,15C,15,15A,35C,GPS benchmark
SRR26797738,4,4,4,4,GPS benchmark
ERR742394,22F,22,22F,22F,GPS benchmark
ERR3303406,23A,23,23A,23A,GPS benchmark
ERR7568015,7C,7,7C,7C,GPS benchmark
SRR26834394,8,8,8,8,GPS benchmark
ERR2681075,6A,6,6A,6A,GPS benchmark
ERR742376,22F,22,22F,22F,GPS benchmark
ERR714564,23F,23,23F,23F,GPS benchmark
ERR2853423,19A,19,19A,19A,GPS benchmark
SRR26877923,8,8,8,8,GPS benchmark
ERR319369,6A,6,6A,22F,GPS benchmark
SRR26818509,15A,15,15A,15A,GPS benchmark
ERR600095,3,3,3,3,GPS benchmark
ERR870261,25F,25,38,25A,GPS benchmark
SRR26714267,38,38,38,38,GPS benchmark
ERR633051,14,14,14,14,GPS benchmark
ERR13364927,18C,18,18C,18B,GPS benchmark
SRR26817828,7C,7,7C,7C,GPS benchmark
SRR26817769,3,3,3,3,GPS benchmark
ERR2089169,18C,18,18C,18C,GPS benchmark
SRR26789703,22F,22,22F,22F,GPS benchmark
SRR26833897,8,8,8,8,GPS benchmark
ERR862374,16F,16,16F,16F,GPS benchmark
ERR600099,33F,33,33F,33F,GPS benchmark
SRR26818434,3,3,3,3,GPS benchmark
SRR26878095,27,27,27,27,GPS benchmark
ERR316905,16F,16,16F,16F,GPS benchmark
ERR662350,10A,10,10A,10A,GPS benchmark
ERR568700,19A,19,19A,19A,GPS benchmark
SRR26884219,3,3,3,3,GPS benchmark
SRR26879471,15B,15,15B,15B,GPS benchmark
SRR26594816,15C,15,15B,15B,GPS benchmark
ERR3270833,24F,24,24F,24F,GPS benchmark
SRR26879645,33F,33,33F,33F,GPS benchmark
ERR13364395,35B,35,35B,35B,GPS benchmark
ERR876748,19F,19,19F,19F,GPS benchmark
ERR2091111,1,1,1,1,GPS benchmark
SRR26930498,6B,6,6B,48,GPS benchmark
