sample,GPSC
SAMEA114408451,12
SAMN36507140,12
SAMEA3878856,12
SAMEA115796246,12
SAMN20398236,12
SAMEA114332652,12
SAMN05221893,12
SAMEA2383064,12
SAMEA115795708,12
SAMEA104034885,12
SAMEA2794310,12
SAMN34145998,12
SAMN20398006,12
SAMN11117012,12
SAMEA115092406,12
SAMN33606077,12
SAMN05221911,12
SAMN20408915,12
SAMEA6097979,12
SAMN09218611,12
SAMEA2779982,12
SAMN11122982,12
SAMEA4024413,12
SAMEA6914991,12
SAMEA6914862,12
SAMEA13187509,12
SAMN25119218,12
SAMEA104154685,12
SAMN42206715,12
SAMN05221393,12
SAMN11122622,12
SAMN05220987,12
SAMN41750513,12
SAMEA2383255,12
SAMEA115532119,12
SAMN41759867,12
SAMN41790706,12
SAMN20332278,12
SAMEA115795575,12
SAMN42364219,12
SAMEA970210,12
SAMEA114346190,12
SAMEA4649649,12
SAMEA6097717,12
SAMN33607468,12
SAMEA12514534,12
SAMEA6097855,12
SAMEA114479093,12
SAMN14157856,12
SAMN14169015,12
SAMN37512578,12
SAMN41765430,12
SAMEA1032612,12
SAMN41760433,12
SAMN09224040,12
SAMEA6097898,12
SAMN14150786,12
SAMN33314503,12
SAMEA115532147,12
SAMN41768303,12
SAMN05935860,12
SAMN41765822,12
SAMEA115795762,12
SAMEA114345985,12
SAMN14150476,12
SAMN09230608,12
SAMEA970290,12
SAMN20398343,12
SAMN41760741,12
SAMEA114441951,12
SAMN33314406,12
SAMEA115532189,12
SAMEA6097990,12
SAMEA1877629,12
SAMEA2612810,12
SAMN20332448,12
SAMEA6914988,12
SAMN05223066,12
SAMN14169209,12
SAMN20397836,12
SAMEA3323323,12
SAMN05222534,12
SAMN14151374,12
SAMN26502592,12
SAMEA114490319,12
SAMEA3714213,12
SAMEA6543387,12
SAMN11121801,12
SAMEA114332686,12
SAMEA115376641,12
SAMN14169013,12
SAMN14157836,12
SAMN14158660,12
SAMN08024722,12
SAMN11117098,12
SAMN14150495,12
SAMN41761295,12
SAMEA115606577,12
SAMN09231190,12
SAMEA2674847,12
SAMN09219322,12
SAMEA114478885,12
SAMEA114552349,12
SAMN10608791,12
SAMN11117000,12
SAMN33606387,12
SAMN41768404,12
SAMEA970299,12
SAMEA6098089,12
SAMN41759831,12
SAMN14168947,12
SAMEA111352115,12
SAMN20398128,12
SAMN33607367,12
SAMN11121408,12
SAMN14158651,12
SAMEA2383269,12
SAMN11121033,12
SAMEA114520994,12
SAMEA970214,12
SAMN08647862,12
SAMEA6098024,12
SAMEA6098076,12
SAMN33314455,12
SAMN33314434,12
SAMN41768621,12
SAMN37512531,12
SAMEA2612805,12
SAMN39946934,12
SAMEA4873840,12
SAMEA12364431,12
SAMEA115795483,12
SAMN41751033,12
SAMN41765403,12
SAMN14169276,12
SAMN25118911,12
SAMN11116766,12
SAMEA114228283,12
SAMEA114332597,12
SAMN41790708,12
SAMN05222825,12
SAMN33607203,12
SAMEA115092582,12
SAMN14158137,12
SAMN20397931,12
SAMEA111441628,12
SAMN09224330,12
SAMEA111457445,12
SAMN14169101,12
SAMN11116922,12
SAMEA6097830,12
SAMEA115795163,12
SAMEA6914953,12
SAMN09214327,12
SAMEA114479410,12
SAMN20397767,12
SAMEA115796650,12
SAMEA112824229,12
SAMN14150884,12
SAMN20332687,12
SAMEA6097957,12
SAMN41768363,12
SAMEA3714238,12
SAMEA111351924,12
SAMEA12514531,12
SAMEA2553846,12
SAMN05935825,12
SAMEA104035224,12
SAMEA970278,12
SAMN41760440,12
SAMN41762442,12
SAMN33606424,12
SAMN41790617,12
SAMEA114479362,12
SAMN11116505,12
SAMN08647600,12
SAMEA6914921,12
SAMN14150378,12
SAMN41760105,12
SAMEA6914854,12
SAMEA6914887,12
SAMEA6097728,12
SAMEA3714034,12
SAMEA115796205,12
SAMEA3431408,12
SAMN41750768,12
SAMEA6097729,12
SAMN11117240,12
SAMN11121605,12
SAMN42206680,12
SAMN20408650,12
SAMN14151116,12
SAMEA114490068,12
SAMN11122925,12
SAMN41765567,12
SAMN20332500,12
SAMEA2446112,12
SAMEA6914955,12
SAMEA3713945,12
SAMN09230692,12
SAMEA114332647,12
SAMN09230683,12
SAMEA6098013,12
SAMN37512526,12
SAMN41765218,12
SAMN09224392,12
SAMN33606247,12
SAMN11122690,12
SAMEA115795076,12
SAMN20397815,12
SAMEA114309772,12
SAMN05221058,12
SAMN05222242,12
SAMEA6914866,12
SAMEA114332803,12
SAMEA6914781,12
SAMN09231104,12
SAMN41768516,12
SAMEA2238924,12
SAMEA115794854,12
SAMN09224353,12
SAMN11122348,12
SAMEA2383177,12
SAMEA6914826,12
SAMN37512610,12
SAMN20409171,12
SAMEA114332804,12
SAMEA115795298,12
SAMEA6097932,12
SAMN11116918,12
SAMN05221002,12
SAMN41790863,12
SAMN09230588,12
SAMEA2383101,12
SAMN09214255,12
SAMN09214289,12
SAMN41751265,12
SAMEA1024007,12
SAMEA114332613,12
SAMN11116820,12
SAMEA6914876,12
SAMN41762750,12
SAMN41760412,12
SAMEA6914858,12
SAMEA2383266,12
SAMEA2446281,12
SAMEA6097987,12
SAMEA6097933,12
SAMN41750741,12
SAMEA6098227,12
SAMN41750762,12
SAMEA114552523,12
SAMEA115606698,12
SAMN37512495,12
SAMN05221853,12
SAMN09231358,12
SAMEA6097661,12
SAMEA104141745,12
SAMN33606461,12
SAMEA970297,12
SAMEA114211835,12
SAMEA6098096,12
SAMEA2521840,12
SAMN41768614,12
SAMN05222333,12
SAMEA6914768,12
SAMN41790577,12
SAMN11122939,12
SAMN20398037,12
SAMEA4926625,12
SAMEA5187218,12
SAMN41750779,12
SAMN41790818,12
SAMN05222396,12
SAMN20398266,12
SAMN20397910,12
SAMEA115796901,12
SAMEA6097876,12
SAMN20332421,12
SAMEA4388312,12
SAMN14158358,12
SAMN05221262,12
SAMEA2383176,12
SAMN37512546,12
SAMEA6097913,12
SAMEA114211847,12
SAMN08647378,12
SAMN20408397,12
SAMEA12514597,12
SAMEA3713903,12
SAMN11122791,12
SAMEA6914912,12
SAMEA114479381,12
SAMEA6914899,12
SAMN05222652,12
SAMEA2336077,12
SAMEA6097735,12
SAMN09218633,12
SAMEA115795598,12
SAMEA114490066,12
SAMEA12514589,12
SAMEA3431410,12
SAMEA2674600,12
SAMEA4732709,12
SAMN20397786,12
SAMN37512477,12
SAMN20398088,12
SAMEA6098170,12
SAMN33606518,12
SAMEA6914905,12
SAMN11116982,12
SAMEA6098120,12
SAMN40152196,12
SAMN14151278,12
SAMEA6097653,12
SAMN42206742,12
SAMEA115532158,12
SAMN33607500,12
SAMEA115796086,12
SAMEA4024800,12
SAMN11117016,12
SAMN41761591,12
SAMEA115796270,12
SAMN20332127,12
SAMN33606510,12
SAMEA1026591,12
SAMEA4561110,12
SAMEA115532193,12
SAMEA6914967,12
SAMN08024450,12
SAMEA114346243,12
SAMEA6098217,12
SAMN41768314,12
SAMN33606503,12
SAMN09224413,12
SAMN41750538,12
SAMEA6097857,12
SAMEA114332608,12
SAMN41139844,12
SAMN09219225,12
SAMN41761548,12
SAMEA4388030,12
SAMN41760709,12
SAMN05222583,12
SAMEA4024386,12
SAMN20408734,12
SAMEA114332697,12
SAMN11117411,12
SAMN20397796,12
SAMEA115796194,12
SAMN08647626,12
SAMN41762424,12
SAMEA2796621,12
SAMN41762432,12
SAMEA115376603,12
SAMEA115795740,12
SAMN33606496,12
SAMN41762195,12
SAMN14158597,12
SAMN41760385,12
SAMN41765311,12
SAMEA6097807,12
SAMEA115794950,12
SAMEA6914777,12
SAMN41761516,12
SAMEA114332571,12
SAMEA6097907,12
SAMN20398064,12
SAMEA114276589,12
SAMN37512595,12
SAMN41760720,12
SAMEA2796755,12
SAMN11121827,12
SAMN11122574,12
SAMN14158018,12
SAMEA114520626,12
SAMN05220872,12
SAMN14168801,12
SAMN41762815,12
SAMEA114332751,12
SAMEA6098119,12
SAMN11116527,12
SAMEA6098042,12
SAMN14158288,12
SAMEA3714201,12
SAMEA6097988,12
SAMEA3323484,12
SAMN05221990,12
SAMN33825254,12
SAMEA6098203,12
SAMEA104177257,12
SAMN41790773,12
SAMN41760556,12
SAMN14158581,12
SAMEA104456639,12
SAMEA2383192,12
SAMEA2238743,12
SAMN14158084,12
SAMN20332579,12
SAMN41762236,12
SAMEA104141927,12
SAMEA6097779,12
SAMEA970267,12
SAMN41139439,12
SAMN34145997,12
SAMEA12514533,12
SAMEA4732496,12
SAMN08166739,12
SAMN11121207,12
SAMEA3339681,12
SAMN11116840,12
SAMN05221528,12
SAMEA114332785,12
SAMN25119000,12
SAMN11121263,12
SAMEA6097860,12
SAMN41762052,12
SAMN41765103,12
SAMEA2239136,12
SAMN11116568,12
SAMN20409273,12
SAMN37512504,12
SAMEA4926467,12
SAMN41751477,12
SAMEA115532112,12
SAMN09230667,12
SAMEA115606918,12
SAMEA6097719,12
SAMN26502584,12
SAMEA3713990,12
SAMN33607394,12
SAMN33606425,12
SAMEA114332574,12
SAMEA3180828,12
SAMN41790750,12
SAMEA115531795,12
SAMEA115794715,12
SAMN41751256,12
SAMN42206869,12
SAMEA114332559,12
SAMEA115796289,12
SAMEA114442026,12
SAMEA115794772,12
SAMEA6097841,12
SAMEA114332578,12
SAMEA2612799,12
SAMN42206689,12
SAMEA111351808,12
SAMN37512527,12
SAMN33606381,12
SAMEA114346226,12
SAMN11117423,12
SAMEA2238977,12
SAMN41751186,12
SAMN41761115,12
SAMEA6097852,12
SAMN14150498,12
SAMN05221959,12
SAMN41751346,12
SAMEA115795589,12
SAMEA1032713,12
SAMN41760789,12
SAMN09230651,12
SAMN41761637,12
SAMN41762472,12
SAMN41761461,12
SAMEA114332717,12
SAMN14150935,12
SAMEA6098006,12
SAMEA6098091,12
SAMN20331824,12
SAMEA970286,12
SAMN14150485,12
SAMN20408858,12
SAMEA2382643,12
SAMN41764973,12
SAMN11117249,12
SAMEA114332599,12
SAMN41762276,12
SAMN41761119,12
SAMEA6914976,12
SAMEA114332493,12
SAMN09231002,12
SAMEA6098118,12
SAMEA114332614,12
SAMN14169310,12
SAMEA970242,12
SAMN09224589,12
SAMN14157734,12
SAMN11122522,12
SAMN20398269,12
SAMN11116489,12
SAMN41790840,12
SAMEA6914848,12
SAMEA2796743,12
SAMN41765097,12
SAMEA2796730,12
SAMN20408787,12
SAMN14150679,12
SAMN11121349,12
SAMN41762454,12
SAMN37512483,12
SAMN41768222,12
SAMN09224205,12
SAMN42364218,12
SAMEA3388916,12
SAMEA114552655,12
SAMEA4732948,12
SAMEA104141646,12
SAMEA2259735,12
SAMN41759698,12
SAMEA6098103,12
SAMN09231482,12
SAMN20332528,12
SAMN09218587,12
SAMN11117271,12
SAMN09224443,12
SAMEA6915004,12
SAMEA2335664,12
SAMEA6097801,12
SAMEA114341835,12
SAMEA114212031,12
SAMN14158244,12
SAMN41750826,12
SAMEA970229,12
SAMEA112824235,12
SAMN05221543,12
SAMN05223091,12
SAMEA114552251,12
SAMEA114332740,12
SAMEA6914980,12
SAMEA6098242,12
SAMEA2342750,12
SAMN41765290,12
SAMEA114332790,12
SAMN42206804,12
SAMEA6098144,12
SAMN09224795,12
SAMN20408675,12
SAMEA6097954,12
SAMN20331862,12
SAMEA2446144,12
SAMN14158426,12
SAMEA6914804,12
SAMN08647628,12
SAMN09218951,12
SAMN41760555,12
SAMN20332664,12
SAMN37512605,12
SAMEA6914983,12
SAMN11116768,12
SAMEA6097688,12
SAMN09219165,12
SAMN20332019,12
SAMN11116676,12
SAMEA114441929,12
SAMEA6097765,12
SAMEA6098250,12
SAMEA4388217,12
SAMN33606403,12
SAMEA114332745,12
SAMEA6098023,12
SAMEA115796441,12
SAMN15562598,12
SAMN41790686,12
SAMN41760882,12
SAMEA114211995,12
SAMEA2658606,12
SAMEA115795851,12
SAMEA6914898,12
SAMN09218650,12
SAMEA3181710,12
SAMN09230599,12
SAMN05222088,12
SAMEA114490269,12
SAMN12230328,12
SAMEA6097966,12
SAMN05222663,12
SAMN20397909,12
SAMEA4561050,12
SAMEA1026690,12
SAMEA3448007,12
SAMN11120945,12
SAMEA115376761,12
SAMEA4649614,12
SAMN41762883,12
SAMEA3323274,12
SAMEA115532086,12
SAMN41750522,12
SAMN14158374,12
SAMEA115796707,12
SAMN41765309,12
SAMEA111457415,12
SAMN09219147,12
SAMEA114520995,12
SAMEA2336079,12
SAMN41765631,12
SAMEA6097733,12
SAMN20397634,12
SAMN20408497,12
SAMEA2521765,12
SAMEA114229928,12
SAMEA115606993,12
SAMN20332499,12
SAMEA4024840,12
SAMEA2059414,12
SAMEA6914943,12
SAMEA970227,12
SAMN41751161,12
SAMEA114332557,12
SAMEA4024506,12
SAMEA115532127,12
SAMN14151039,12
SAMEA9633242,12
SAMEA6097986,12
SAMEA6914972,12
SAMN05774327,12
SAMN08647607,12
SAMEA3431417,12
SAMEA6098034,12
SAMEA104141705,12
SAMN09218465,12
SAMN09218924,12
SAMN37512541,12
SAMEA114332721,12
SAMEA2626732,12
SAMN41139766,12
SAMN37512560,12
SAMEA114212020,12
SAMEA6097891,12
SAMN41768388,12
SAMEA4732682,12
SAMN33314527,12
SAMEA6097825,12
SAMN09224602,12
SAMN05222181,12
SAMEA2167623,12
SAMEA2239105,12
SAMEA2382700,12
SAMN41762125,12
SAMN41765053,12
SAMN41760546,12
SAMEA4931253,12
SAMN05774335,12
SAMN20332293,12
SAMN20408939,12
SAMN09214315,12
SAMN09224821,12
SAMN14150930,12
SAMN14158284,12
SAMN14168706,12
SAMEA10427632,12
SAMN41751169,12
SAMEA6097890,12
SAMN11122570,12
SAMEA6914969,12
SAMEA6914880,12
SAMEA114332506,12
SAMN20408567,12
SAMN33606091,12
SAMN41790683,12
SAMN41768606,12
SAMEA6914790,12
SAMN05222214,12
SAMN33606585,12
SAMN05221334,12
SAMEA114520619,12
SAMEA115376424,12
SAMEA115795359,12
SAMN15562700,12
SAMEA114332672,12
SAMN41790758,12
SAMEA4024380,12
SAMN42206675,12
SAMEA115180177,12
SAMN14169127,12
SAMN05221367,12
SAMEA6914920,12
SAMN42206754,12
SAMEA114552514,12
SAMN09224712,12
SAMN33606485,12
SAMN41761528,12
SAMEA2383090,12
SAMN41765864,12
SAMN14158272,12
SAMN20332312,12
SAMEA6098190,12
SAMN14158208,12
SAMN14169157,12
SAMN41765501,12
SAMEA115794855,12
SAMN42206682,12
SAMN37512462,12
SAMEA115607024,12
SAMEA2434589,12
SAMN09230946,12
SAMEA2142394,12
SAMN33607478,12
SAMN09230781,12
SAMN09224790,12
SAMN11122497,12
SAMN14168950,12
SAMN14158228,12
SAMEA115180199,12
SAMEA115376704,12
SAMEA3145859,12
SAMEA6914979,12
SAMN20397799,12
SAMN41762081,12
SAMEA2238675,12
SAMN41768240,12
SAMN41765753,12
SAMEA114346053,12
SAMEA6097747,12
SAMN14157885,12
SAMN33606150,12
SAMN33607088,12
SAMN09219013,12
SAMEA114341913,12
SAMN41765506,12
SAMEA6098046,12
SAMEA3373655,12
SAMEA6914817,12
SAMN11121260,12
SAMEA6914961,12
SAMN41768542,12
SAMN09219424,12
SAMN41768398,12
SAMN20409345,12
SAMN41750865,12
SAMEA115796645,12
SAMN05221382,12
SAMN33606422,12
SAMEA6097678,12
SAMEA6097701,12
SAMEA6097751,12
SAMEA2336101,12
SAMEA114332547,12
SAMN09224522,12
SAMN33606495,12
SAMN11117294,12
SAMN08647902,12
SAMEA114520533,12
SAMN09231404,12
SAMN14158565,12
SAMN37512542,12
SAMEA1032421,12
SAMEA6097782,12
SAMN11122406,12
SAMEA2239109,12
SAMEA112824179,12
SAMEA6098148,12
SAMN39946946,12
SAMEA6098143,12
SAMEA12364365,12
SAMN14169072,12
SAMEA114332627,12
SAMEA3713934,12
SAMN11116534,12
SAMN20398358,12
SAMN41762319,12
SAMEA114332582,12
SAMEA2383081,12
SAMEA6097723,12
SAMEA2796642,12
SAMN41762857,12
SAMEA6914966,12
SAMEA6098122,12
SAMN41762409,12
SAMEA4024857,12
SAMN08166712,12
SAMEA12364337,12
SAMEA2238341,12
SAMN11117306,12
SAMEA2238949,12
SAMN05223026,12
SAMN20332246,12
SAMN11122441,12
SAMEA6098211,12
SAMEA115376651,12
SAMN41765317,12
SAMEA3180814,12
SAMEA115794923,12
SAMN38982269,12
SAMEA3878843,12
SAMEA12364327,12
SAMEA4561086,12
SAMN05221470,12
SAMEA114479097,12
SAMEA970284,12
SAMN11121318,12
SAMEA112824247,12
SAMN10608714,12
SAMN09219298,12
SAMN14168667,12
SAMEA2336114,12
SAMEA114346054,12
SAMEA115376784,12
SAMEA115795292,12
SAMN11122477,12
SAMN41765286,12
SAMN41768320,12
SAMEA2239181,12
SAMN41790574,12
SAMEA115795894,12
SAMEA6098094,12
SAMEA3172869,12
SAMN14150660,12
SAMN05222171,12
SAMN11116710,12
SAMN41790854,12
SAMN09219029,12
SAMN14168761,12
SAMEA4926402,12
SAMEA114332742,12
SAMEA112299515,12
SAMN11116957,12
SAMN20331836,12
SAMEA111457526,12
SAMN14150468,12
SAMEA12364408,12
SAMEA3323354,12
SAMEA2521787,12
SAMN36507151,12
SAMEA114552450,12
SAMEA2057554,12
SAMEA114332758,12
SAMEA112824201,12
SAMEA114332674,12
SAMEA2238497,12
SAMN41790579,12
SAMN41761350,12
SAMEA970270,12
SAMN41394573,12
SAMEA115532182,12
SAMEA2238322,12
SAMD00137664,12
SAMN09219104,12
SAMEA114332680,12
SAMEA115796213,12
SAMN09231421,12
SAMEA114036747,12
SAMEA6097982,12
SAMN14168641,12
SAMN05221901,12
SAMEA6097775,12
SAMEA6098067,12
SAMN33606405,12
SAMN20331921,12
SAMEA6098060,12
SAMEA6097902,12
SAMN41759842,12
SAMN11121810,12
SAMEA114326152,12
SAMEA115532072,12
SAMEA2521802,12
SAMEA6098102,12
SAMEA114520617,12
SAMN11117383,12
SAMEA2238342,12
SAMN14158092,12
SAMN11121158,12
SAMEA6097894,12
SAMN11121231,12
SAMN41762177,12
SAMEA6098200,12
SAMN14168918,12
SAMEA115795160,12
SAMEA6097823,12
SAMN09218969,12
SAMN37512503,12
SAMEA2336110,12
SAMEA5083065,12
SAMN41139406,12
SAMN41762034,12
SAMEA6098020,12
SAMN20332461,12
SAMN41759829,12
SAMEA6097663,12
SAMN41139435,12
SAMN20397943,12
SAMEA2446157,12
SAMN41765799,12
SAMEA115376530,12
SAMN20332328,12
SAMEA970224,12
SAMN11121234,12
SAMEA114212309,12
SAMEA6098003,12
SAMEA114521092,12
SAMEA2796569,12
SAMN11116857,12
SAMEA2521770,12
SAMEA6097889,12
SAMN09214288,12
SAMN11117127,12
SAMN42206678,12
SAMEA114212332,12
SAMEA6914872,12
SAMEA2238757,12
SAMN09230978,12
SAMEA6097694,12
SAMEA6914911,12
SAMEA10427041,12
SAMN42206780,12
SAMEA104035878,12
SAMN14168976,12
SAMN41764976,12
SAMEA114552269,12
SAMN11122508,12
SAMEA2238643,12
SAMN09218496,12
SAMEA6098027,12
SAMEA6097910,12
SAMN05221211,12
SAMEA115794914,12
SAMN09218983,12
SAMEA114332709,12
SAMEA2446278,12
SAMEA114490105,12
SAMEA114479210,12
SAMEA114309466,12
SAMN41761369,12
SAMEA6914787,12
SAMN09231042,12
SAMN02737944,12
SAMEA6500703,12
SAMN41760256,12
SAMN14151277,12
SAMEA2383253,12
SAMEA114479327,12
SAMN11116993,12
SAMN09231128,12
SAMEA6914878,12
SAMN20332632,12
SAMN09231476,12
SAMEA114326173,12
SAMN34146049,12
SAMN05221878,12
SAMEA6915003,12
SAMN14158141,12
SAMEA6914865,12
SAMN09230747,12
SAMN20408924,12
SAMEA3714503,12
SAMEA6098105,12
SAMN11121187,12
SAMN37512589,12
SAMEA114332577,12
SAMN14150529,12
SAMN41765069,12
SAMEA114441791,12
SAMEA4931502,12
SAMN09224517,12
SAMEA4561591,12
SAMEA6097944,12
SAMEA115796003,12
SAMN09218972,12
SAMN40152195,12
SAMN11120915,12
SAMEA114552592,12
SAMN20408510,12
SAMN41761957,12
SAMN41139727,12
SAMEA114332612,12
SAMEA6097757,12
SAMN09219304,12
SAMN41762027,12
SAMN33606469,12
SAMN09231070,12
SAMN41760851,12
SAMN20332471,12
SAMN41750818,12
SAMEA115029699,12
SAMN09224418,12
SAMEA6097958,12
SAMEA2059722,12
SAMEA2446113,12
SAMN33606472,12
SAMN14151118,12
SAMEA115794849,12
SAMEA112299530,12
SAMN11121088,12
SAMEA115180181,12
SAMN41750607,12
SAMN20332286,12
SAMEA115795082,12
SAMN20332523,12
SAMEA2238445,12
SAMEA114332693,12
SAMEA115092513,12
SAMN09224544,12
SAMEA112824165,12
SAMEA4561212,12
SAMN41765433,12
SAMN15562411,12
SAMEA6914831,12
SAMN42206825,12
SAMEA6097741,12
SAMEA2259737,12
SAMEA6097739,12
SAMN05221231,12
SAMEA2521692,12
SAMEA114346149,12
SAMN14158588,12
SAMN33606489,12
SAMEA114036812,12
SAMEA2383271,12
SAMEA115412758,12
SAMEA6097961,12
SAMN41768284,12
SAMEA2382850,12
SAMEA114520404,12
SAMN33606423,12
SAMEA970211,12
SAMEA6915002,12
SAMEA4732975,12
SAMN09231281,12
SAMN14158041,12
SAMEA111457512,12
SAMN41765183,12
SAMEA6097850,12
SAMN33314439,12
SAMEA6097969,12
SAMN41760529,12
SAMN11116604,12
SAMN33606430,12
SAMEA5866312,12
SAMEA114211867,12
SAMEA112647411,12
SAMN33606432,12
SAMEA114332753,12
SAMN05220999,12
SAMEA3221199,12
SAMEA115532104,12
SAMN33314382,12
SAMEA114326227,12
SAMEA13187497,12
SAMEA114520624,12
SAMN35364401,12
SAMEA114490235,12
SAMN20331847,12
SAMN41765464,12
SAMEA6098154,12
SAMN11122287,12
SAMEA6097730,12
SAMN41750745,12
SAMN09230772,12
SAMN20408448,12
SAMEA6914892,12
SAMEA12514555,12
SAMN20332058,12
SAMN37512521,12
SAMN37512534,12
SAMN20398050,12
SAMN41768451,12
SAMN05222736,12
SAMEA115795287,12
SAMN11116673,12
SAMEA115606447,12
SAMEA4059040,12
SAMN37512461,12
SAMEA111352142,12
SAMN41751470,12
SAMN14151197,12
SAMEA3431398,12
SAMEA4561162,12
SAMEA115531923,12
SAMEA6914885,12
SAMEA6098139,12
SAMN41768261,12
SAMN14157970,12
SAMN20408404,12
SAMN05221396,12
SAMN41139929,12
SAMN42206871,12
SAMN00623118,12
SAMN05223211,12
SAMN25118959,12
SAMEA104142024,12
SAMN09219433,12
SAMEA111493996,12
SAMN11121507,12
SAMN09231119,12
SAMEA2521774,12
SAMEA6914758,12
SAMEA115376723,12
SAMN41765511,12
SAMN09219367,12
SAMN14168908,12
SAMEA111457477,12
SAMEA6097829,12
SAMEA6914944,12
SAMN14168944,12
SAMN41761670,12
SAMN41751162,12
SAMEA6097749,12
SAMN41765508,12
SAMN20398304,12
SAMEA3176094,12
SAMEA115795677,12
SAMN14158088,12
SAMN33607473,12
SAMEA2335756,12
SAMEA12364384,12
SAMN09231072,12
SAMEA6097812,12
SAMN33606410,12
SAMN11117215,12
SAMN41765693,12
SAMN37512524,12
SAMN11121079,12
SAMEA111457358,12
SAMN14168615,12
SAMN33314335,12
SAMN41765224,12
SAMEA6097784,12
SAMN41751468,12
SAMN20332394,12
SAMN14168811,12
SAMN09231360,12
SAMEA6097858,12
SAMN09230640,12
SAMEA3713922,12
SAMEA6097840,12
SAMN37512570,12
SAMN20408868,12
SAMEA6914839,12
SAMN09230665,12
SAMEA6097805,12
SAMN33607384,12
SAMN09224674,12
SAMEA115412733,12
SAMEA3431404,12
SAMEA114313571,12
SAMEA970240,12
SAMN20398051,12
SAMEA114479190,12
SAMN41765111,12
SAMN11116593,12
SAMN41764921,12
SAMN14168712,12
SAMN41751035,12
SAMN41751099,12
SAMEA2336184,12
SAMN09231018,12
SAMEA2259732,12
SAMEA2239133,12
SAMEA3172954,12
SAMN14150808,12
SAMN33606274,12
SAMN11116562,12
SAMEA1032742,12
SAMN42206718,12
SAMEA6097949,12
SAMN33606209,12
SAMN14151034,12
SAMEA2238735,12
SAMN14168982,12
SAMEA6097681,12
SAMEA6914850,12
SAMN20331978,12
SAMEA6914793,12
SAMN11116930,12
SAMN11117330,12
SAMN20331965,12
SAMN15562834,12
SAMN09218938,12
SAMN14151293,12
SAMN41790866,12
SAMN05222210,12
SAMN14169070,12
SAMN33607209,12
SAMN41765210,12
SAMEA2059733,12
SAMN09218527,12
SAMEA6098066,12
SAMEA115531824,12
SAMEA2342858,12
SAMN41765213,12
SAMEA114552583,12
SAMN20409128,12
SAMN14150563,12
SAMN09231359,12
SAMN33314521,12
SAMN41762269,12
SAMN41761246,12
SAMEA2238440,12
SAMN27738149,12
SAMEA2239056,12
SAMEA114211787,12
SAMN09219100,12
SAMN42206822,12
SAMN09230954,12
SAMEA6914835,12
SAMEA115795074,12
SAMN20408731,12
SAMN41768537,12
SAMEA114552699,12
SAMN14158513,12
SAMN37512500,12
SAMEA6098163,12
SAMEA2259731,12
SAMN09219078,12
SAMN20331897,12
SAMN41762366,12
SAMN14168775,12
SAMN14151297,12
SAMN11117430,12
SAMEA6914867,12
SAMEA3176173,12
SAMN11122479,12
SAMEA115795671,12
SAMN25119205,12
SAMEA4024222,12
SAMN41751225,12
SAMN20398290,12
SAMN11122397,12
SAMEA115794861,12
SAMN09230903,12
SAMEA4387944,12
SAMN33314586,12
SAMEA6097655,12
SAMEA114479547,12
SAMN11121374,12
SAMEA6914928,12
SAMN11117418,12
SAMN41762633,12
SAMEA6097720,12
SAMN20398085,12
SAMEA1020288,12
SAMN05935826,12
