predicted_serotype,tip,predicted_serogroup,is_cps,nn_serotype,nn_serogroup,nn_genogroup,nn_distance,tool,threshold,is_novel_serogroup,GPSC,final_serotype_prediction,final_serogroup_prediction,Name,Genogroup,SeroBA_Unknown,SeroBA_Type
38,SAMEA114036882,38,TRUE,38,38,25A_25F_38,2.6186387274762e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1028928,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1029064,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1029116,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1029154,38,TRUE,38,38,25A_25F_38,0.00279591222986097,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1029293,38,TRUE,38,38,25A_25F_38,0.00279591222986097,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1032420,38,TRUE,38,38,25A_25F_38,1.8135837259525e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1032439,38,TRUE,38,38,25A_25F_38,1.8135837259525e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1032471,38,TRUE,38,38,25A_25F_38,2.4682424647459e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1032506,38,TRUE,38,38,25A_25F_38,6.9459145037475e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111352113,38,TRUE,38,38,25A_25F_38,0.00127066590082625,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111378861,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111457394,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111457460,38,TRUE,38,38,25A_25F_38,0.00396769694878096,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111457530,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA112126384,38,TRUE,38,38,25A_25F_38,0.00100446433143641,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA112126399,38,TRUE,38,38,25A_25F_38,0.00100446433143641,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA112299463,38,TRUE,38,38,25A_25F_38,2.7415561325205e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036619,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036639,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036649,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036725,38,TRUE,38,38,25A_25F_38,7.22980372712678e-5,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036831,38,TRUE,38,38,25A_25F_38,2.1319836996169e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036880,38,TRUE,38,38,25A_25F_38,1.5720966229726e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035601,38,TRUE,38,38,25A_25F_38,2.8356588086975e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114036888,38,TRUE,38,38,25A_25F_38,4.2104660391417e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114088725,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114088737,38,TRUE,38,38,25A_25F_38,3.4437714789714e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114088747,38,TRUE,38,38,25A_25F_38,2.6519707480265e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114211724,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035952,38,TRUE,25F,25,25A_25F_38,1.1977366731741e-4,ALLCAPS,4.51792531455109e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104154639,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104154682,38,TRUE,38,38,25A_25F_38,2.138796987573e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104154695,38,TRUE,25F,25,25A_25F_38,1.1977366731741e-4,ALLCAPS,4.51792531455109e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104154705,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104154804,38,TRUE,38,38,25A_25F_38,5.7937390844509e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104155122,38,TRUE,38,38,25A_25F_38,5.3617489898105e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1028911,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA102241168,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA102242668,38,TRUE,38,38,25A_25F_38,4.8257023133557e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1022811,38,TRUE,38,38,25A_25F_38,1.3375170884832e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1022819,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1032706,38,TRUE,38,38,25A_25F_38,6.9459145037475e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104034807,38,TRUE,38,38,25A_25F_38,9.9629133107859e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104034808,38,TRUE,38,38,25A_25F_38,4.1106013942027e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104034809,38,TRUE,38,38,25A_25F_38,4.1106013942027e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104034949,38,TRUE,38,38,25A_25F_38,7.22980372712678e-5,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035048,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA5187763,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035134,38,TRUE,38,38,25A_25F_38,3.1866702361738e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035240,38,TRUE,38,38,25A_25F_38,3.0847954820323e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035277,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035462,38,TRUE,25F,25,25A_25F_38,1.1977366731741e-4,ALLCAPS,4.51792531455109e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035479,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026321,38,TRUE,38,38,25A_25F_38,3.5675938255463e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035615,38,TRUE,38,38,25A_25F_38,2.4682424647459e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035656,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035663,38,TRUE,38,38,25A_25F_38,5.3617489898105e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035855,38,TRUE,38,38,25A_25F_38,3.0847954820323e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104035923,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026782,38,TRUE,38,38,25A_25F_38,0.00374889747460482,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026788,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026803,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1028654,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796466,38,TRUE,38,38,25A_25F_38,1.3375170884832e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796483,38,TRUE,38,38,25A_25F_38,3.0847954820323e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796491,38,TRUE,38,38,25A_25F_38,1.3375170884832e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796534,38,TRUE,38,38,25A_25F_38,1.3375170884832e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796543,38,TRUE,38,38,25A_25F_38,2.6498879855785e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796562,38,TRUE,38,38,25A_25F_38,2.6498879855785e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796590,38,TRUE,38,38,25A_25F_38,1.3375170884832e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796632,38,TRUE,38,38,25A_25F_38,3.1116612584125e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796638,38,TRUE,25A,25,25A_25F_38,1.809345895708e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796687,38,TRUE,38,38,25A_25F_38,2.3342966608674e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1025354,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1025381,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10254620,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10254807,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10254841,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10254932,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1025913,38,TRUE,25A,25,25A_25F_38,6.2410730325146e-4,ALLCAPS,4.60093985018006e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3173015,38,TRUE,38,38,25A_25F_38,2.6257582333322e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026388,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026444,38,TRUE,38,38,25A_25F_38,2.8271969007498e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026478,38,TRUE,38,38,25A_25F_38,3.0847954820323e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026652,38,TRUE,38,38,25A_25F_38,2.6257582333322e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA1026697,38,TRUE,38,38,25A_25F_38,3.5675938255463e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3180543,38,TRUE,38,38,25A_25F_38,4.0145200352492e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3180632,38,TRUE,38,38,25A_25F_38,3.0847954820323e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3181927,38,TRUE,38,38,25A_25F_38,2.4682424647459e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3206722,38,TRUE,38,38,25A_25F_38,5.7321689120581e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3206857,38,TRUE,38,38,25A_25F_38,5.088826448335e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3207060,38,TRUE,38,38,25A_25F_38,4.2274456352242e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3208885,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3208958,38,TRUE,38,38,25A_25F_38,5.7321689120581e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3208971,38,TRUE,38,38,25A_25F_38,5.7321689120581e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3209004,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104177218,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104177252,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10427149,38,TRUE,38,38,25A_25F_38,1.6618723392058e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10427617,38,TRUE,38,38,25A_25F_38,1.6618723392058e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10427870,38,TRUE,38,38,25A_25F_38,1.9168107729483e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA10427973,38,TRUE,38,38,25A_25F_38,0.00136066690987268,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796739,38,TRUE,38,38,25A_25F_38,2.6498879855785e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2796947,38,TRUE,38,38,25A_25F_38,4.0770253573929e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2813979,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2813990,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA2814281,38,TRUE,38,38,25A_25F_38,5.7321689120581e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3145561,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3145721,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3175697,38,TRUE,38,38,25A_25F_38,3.1116612584125e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3175733,38,TRUE,38,38,25A_25F_38,2.3342966608674e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3176068,38,TRUE,38,38,25A_25F_38,4.0145200352492e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3176157,38,TRUE,38,38,25A_25F_38,3.1116612584125e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3176172,38,TRUE,38,38,25A_25F_38,2.3669101742518e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA104456870,38,TRUE,38,38,25A_25F_38,0.00136066690987268,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110664908,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110664938,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110664945,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665036,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665224,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665639,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665758,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665774,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665783,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665787,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665799,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665871,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665948,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665966,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110665987,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110666125,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA110666168,38,TRUE,38,38,25A_25F_38,3.5889812776479e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111351848,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA3430877,38,TRUE,38,38,25A_25F_38,1.3375170884832e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA111351879,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114212333,38,TRUE,38,38,25A_25F_38,0.00392297482396764,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114228284,38,TRUE,38,38,25A_25F_38,1.7398045016248e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114241762,38,TRUE,38,38,25A_25F_38,0.00136066690987268,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114241771,38,TRUE,38,38,25A_25F_38,9.2321033211206e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114241784,38,TRUE,38,38,25A_25F_38,2.881079651591e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114241886,38,TRUE,38,38,25A_25F_38,0.0043227863968096,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114242047,38,TRUE,38,38,25A_25F_38,5.088826448335e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
38,SAMEA114242362,38,TRUE,38,38,25A_25F_38,3.3239388789862e-4,ALLCAPS,4.99756673245644e-5,TRUE,38,Novel,Novel,38,25A,1,ref
