sample_id,Serotype,Is_capsule,knn_distance,nn_distance,nn_serotype,nn_genogroup,is_novel
ERR1422395#3,7F,1,0.00023537874,0.00023537874,7F,7A_7F,False
ERR662359#6,22F,1,0.0,0.0,22F,22,False
ERR662359#93,22F,1,0.0,0.0,22F,22,False
ERR1065251#1,6A,1,0.0,0.0,6A,6,False
ERR490721#11,23F,1,5.9604645e-08,5.9604645e-08,23F,23,False
ERR490721#18,23F,1,0.0,0.0,23F,23,False
SRR26883987#1,12F,1,2.9802322e-07,2.9802322e-07,12F,12_44_46,False
SRR26883987#9,12F,1,1.7881393e-07,1.7881393e-07,12F,12_44_46,False
ERR913563#2,15B/C,1,0.0,0.0,15B,15,False
ERR913563#7,15B/C,1,1.1920929e-07,1.1920929e-07,15B/C,15B/C,False
ERR1788386#22,7F,1,7.8082085e-06,7.8082085e-06,7F,7A_7F,False
ERR1788386#48,7F,1,0.0,0.0,7F,7A_7F,False
SRR26594494#1,20B,1,0.0,0.0,20B,20,False
SRR26594494#4,20B,1,2.3841858e-07,2.3841858e-07,20B,20,False
ERR2090681#1,5,1,0.0,0.0,5,5,False
ERR2090681#24,5,1,0.0,0.0,5,5,False
ERR13364933#1,19A,1,2.2053719e-06,2.2053719e-06,19A,19A,False
ERR9796490#1,19A,1,0.0,0.0,19A,19A,False
ERR13365273#10,3,1,0.0,0.0,3,3,False
ERR319399#15,6C,1,0.0,0.0,6C,6,False
ERR319399#102,6C,1,2.9802322e-07,2.9802322e-07,6C,6,False
ERR876471#12,14,1,0.0,0.0,14,14,False
ERR876471#26,14,1,1.1920929e-07,1.1920929e-07,14,14,False
ERR1191881#2,18A,1,0.030443668,0.030443668,18A,18,False
ERR1191881#9,18A,1,0.06035775,0.06035775,18A,18,False
ERR13366076#3,16F,1,0.0013290048,0.0013290048,16F,16F,False
ERR13366076#12,16F,1,0.03480923,0.03480923,16F,16F,False
ERR730652#22,7C,1,0.002027154,0.002027154,7C,7B_7C_40,False
ERR730652#53,7C,1,0.27931094,0.27931094,7C,7B_7C_40,True
ERR2680688#4,15B/C,1,0.0,0.0,15B/C,15B/C,False
SRR26714565#3,19A,1,0.0,0.0,19A,19A,False
SRR26749751#1,15A,1,3.1590462e-06,3.1590462e-06,15A,15,False
SRR26834399#25,19A,1,0.0,0.0,19A,19A,False
ERR3796639#9,24F,1,0.0,0.0,24F,Serogroup 24,False
SRR26749196#4,8,1,0.0,0.0,8,8,False
SRR26749196#5,8,1,0.0,0.0,8,8,False
ERR742667#5,9V,1,0.0,0.0,9V,9,False
ERR742667#51,9V,1,1.7881393e-07,1.7881393e-07,9V,9,False
ERR1066282#10,23F,1,0.0,0.0,23F,23,False
ERR1066282#26,23F,1,0.02661717,0.02661717,23F,23,False
ERR1214387#4,19F,1,0.00024944544,0.00024944544,19F,19F,False
SRR26750019#1,12F,1,0.0,0.0,12F,12_44_46,False
SRR26750019#6,12F,1,1.1920929e-07,1.1920929e-07,12F,12_44_46,False
ERR600521#3,19F,1,0.0,0.0,19F,19F,False
ERR600521#38,19F,1,2.3841858e-07,2.3841858e-07,19F,19F,False
ERR662444#1,35F,1,0.0,0.0,35F,35F,False
SRR26673182#1,3,1,0.0,0.0,3,3,False
SRR26672925#1,4,1,0.0,0.0,4,4,False
SRR26672925#25,4,1,0.0,0.0,4,4,False
ERR1214642#11,6B,1,5.364418e-06,5.364418e-06,6B,6,False
ERR326329#39,6A,1,0.0,0.0,6A,6,False
ERR326329#105,6A,1,1.1920929e-07,1.1920929e-07,6A,6,False
SRR26931030#17,8,1,0.005031407,0.005031407,8,8,False
SRR26931030#18,8,1,1.0728836e-05,1.0728836e-05,8,8,False
ERR909316#2,19F,1,0.0,0.0,19F,19F,False
ERR909316#3,19F,1,6.4611435e-05,6.4611435e-05,19F,19F,False
ERR13365895#2,3,1,0.0,0.0,3,3,False
ERR586334#1,6B,1,5.9604645e-08,5.9604645e-08,6B,6,False
ERR1540691#1,7B,1,6.818771e-05,6.818771e-05,7B,7B_7C_40,False
ERR501499#11,16F,1,1.7881393e-07,1.7881393e-07,16F,16F,False
ERR501499#17,16F,1,0.0,0.0,16F,16F,False
SRR26931235#2,Serogroup 24,1,9.655952e-06,9.655952e-06,Serogroup 24,Serogroup 24,False
SRR26818031#2,22F,1,0.0,0.0,22F,22,False
SRR26818031#9,22F,1,0.0,0.0,22F,22,False
ERR3227790#1,34,1,0.0,0.0,34,34,False
ERR570406#3,18B,1,5.9604645e-08,5.9604645e-08,18B,18,False
ERR570406#13,18B,1,0.00027096272,0.00027096272,18B,18,False
SRR26749648#2,19F,1,0.0,0.0,19F,19F,False
SRR26749648#27,19F,1,0.0,0.0,19F,19F,False
SRR26797417#1,8,1,7.212162e-06,7.212162e-06,8,8,False
ERR1214685#8,14,1,1.1920929e-07,1.1920929e-07,14,14,False
ERR1214685#26,14,1,0.0,0.0,14,14,False
ERR980352#29,19F,1,1.579523e-05,1.579523e-05,19F,19F,False
ERR980352#64,19F,1,0.17626238,0.17626238,19F,19F,False
SRR26797505#2,16F,1,1.7881393e-07,1.7881393e-07,16F,16F,False
SRR26797505#3,16F,1,0.16020894,0.16020894,16F,16F,False
ERR1453742#1,15B/C,1,0.0,0.0,15B,15,False
ERR1065129#3,17F,1,0.0019278526,0.0019278526,17F,17F,False
ERR1065129#17,17F,1,8.940697e-07,8.940697e-07,17F,17F,False
ERR900699#14,6B,1,2.3841858e-07,2.3841858e-07,6B,6,False
ERR900699#18,6B,1,5.9604645e-08,5.9604645e-08,6B,6,False
ERR913085#1,16F,1,2.014637e-05,2.014637e-05,16F,16F,False
SRR26749664#1,16F,1,0.0006659031,0.0006659031,16F,16F,False
ERR2091088#3,14,1,3.5762787e-07,3.5762787e-07,14,14,False
ERR2091088#18,14,1,1.1920929e-07,1.1920929e-07,14,14,False
SRR26880066#5,8,1,0.0,0.0,8,8,False
ERR2680984#6,23F,1,1.1920929e-07,1.1920929e-07,23F,23,False
ERR2680984#12,23F,1,0.0,0.0,23F,23,False
ERR1788255#2,35C,1,6.681681e-05,6.681681e-05,35C,35A_35C_42,False
SRR26673001#3,22F,1,0.0,0.0,22F,22,False
SRR26673001#5,22F,1,0.0,0.0,22F,22,False
ERR1192107#5,19A,1,0.0,0.0,19A,19A,False
SRR26749193#3,35F,1,0.0,0.0,35F,35F,False
ERR1430886#2,15B/C,1,0.0006443858,0.0006443858,15B/C,15B/C,False
ERR1430886#47,15B/C,1,0.10470641,0.10470641,15A,15,False
SRR26818604#2,8,1,0.0,0.0,8,8,False
SRR26818604#5,8,1,0.0,0.0,8,8,False
SRR26818385#2,22F,1,0.0,0.0,22F,22,False
SRR26818385#4,22F,1,5.9604645e-08,5.9604645e-08,22F,22,False
SRR26931086#14,10A,1,0.0,0.0,10A,10,False
SRR26931086#26,10A,1,0.0,0.0,10A,10,False
ERR568653#4,9V,1,4.1365623e-05,4.1365623e-05,9V,9,False
ERR568653#27,9V,1,0.0,0.0,9V,9,False
ERR13365283#4,23A,1,0.0003182888,0.0003182888,23A,23,False
ERR1453463#1,21,1,0.0,0.0,21,21,False
ERR1453463#16,21,1,1.1920929e-07,1.1920929e-07,21,21,False
ERR3796614#2,24F,1,1.2278557e-05,1.2278557e-05,24F,Serogroup 24,False
ERR2667127#2,3,1,0.0,0.0,3,3,False
ERR730498#1,9V,1,0.0,0.0,9V,9,False
ERR326704#1,8,1,0.0,0.0,8,8,False
ERR633081#1,8,1,5.9604645e-08,5.9604645e-08,8,8,False
ERR862428#5,22A,1,0.0,0.0,22A,22,False
ERR862428#23,22A,1,0.0039772987,0.0039772987,18C,18,False
ERR13366155#2,22F,1,0.058655858,0.058655858,34,34,False
ERR13366155#28,22F,1,0.004323721,0.004323721,22F,22,False
ERR1788291#2,3,1,0.0,0.0,3,3,False
SRR26884658#1,35B,1,1.8119812e-05,1.8119812e-05,35B,35B_35D,False
ERR714159#2,35D,1,0.001830399,0.001830399,35D,35B_35D,False
ERR714159#3,35D,1,4.9114227e-05,4.9114227e-05,35B,35B_35D,False
SRR26878707#15,10A,1,0.0,0.0,10A,10,False
SRR26878707#28,10A,1,0.0,0.0,10A,10,False
ERR326542#29,19F,1,0.33373886,0.33373886,19F,19F,True
ERR326542#34,19F,1,5.9604645e-08,5.9604645e-08,19F,19F,False
SRR26595086#2,6C,1,5.9604645e-08,5.9604645e-08,6C,6,False
SRR26884466#2,8,1,0.0,0.0,8,8,False
SRR26884466#6,8,1,3.540516e-05,3.540516e-05,8,8,False
ERR1430812#1,23B,1,1.7881393e-07,1.7881393e-07,23B,23,False
ERR2090517#2,1,1,0.0,0.0,1,1,False
ERR2090517#4,1,1,0.0,0.0,1,1,False
SRR26714870#1,9N,1,0.0,0.0,9N,9,False
SRR26714870#6,9N,1,0.0,0.0,9N,9,False
ERR1214640#8,6B,1,3.2544136e-05,3.2544136e-05,6B,6,False
ERR600143#2,38,1,0.0,0.0,38,25A_25F_38,False
ERR600143#5,38,1,1.7881393e-07,1.7881393e-07,38,25A_25F_38,False
ERR13365199#1,15A,1,0.0,0.0,15A,15,False
ERR1214647#5,6C,1,3.0338764e-05,3.0338764e-05,6C,6,False
ERR600227#2,22F,1,0.0,0.0,22F,22,False
ERR600227#6,22F,1,0.0,0.0,22F,22,False
SRR26878552#2,6C,1,0.007010758,0.007010758,6C,6,False
SRR26878552#8,6C,1,0.0071576834,0.0071576834,6C,6,False
SRR26878087#2,8,1,0.0,0.0,8,8,False
SRR26878087#4,8,1,1.1920929e-07,1.1920929e-07,8,8,False
ERR742604#12,7F,1,0.0,0.0,7F,7A_7F,False
ERR742604#53,7F,1,1.1920929e-07,1.1920929e-07,7F,7A_7F,False
ERR980355#5,35D,1,0.004559636,0.004559636,35B,35B_35D,False
ERR980355#7,35D,1,0.0,0.0,35B,35B_35D,False
ERR1066363#13,15B/C,1,0.00019830465,0.00019830465,15B/C,15B/C,False
ERR1066363#24,15B/C,1,0.007277131,0.007277131,15B/C,15B/C,False
ERR870220#2,8,1,5.9604645e-08,5.9604645e-08,8,8,False
ERR870220#13,8,1,5.066395e-06,5.066395e-06,8,8,False
ERR714664#1,6A,1,5.9604645e-08,5.9604645e-08,6A,6,False
ERR714664#15,6A,1,0.0,0.0,6A,6,False
ERR2090438#20,1,1,0.0,0.0,1,1,False
ERR2090438#43,1,1,0.0,0.0,1,1,False
ERR980075#1,19A,1,0.0,0.0,19A,19A,False
SRR26714950#1,31,1,0.0,0.0,31,31,False
SRR26714418#1,8,1,0.0,0.0,8,8,False
ERR3303146#20,6B,1,2.3841858e-07,2.3841858e-07,6B,6,False
ERR3303146#24,6B,1,0.0,0.0,6B,6,False
ERR1453491#8,12F,1,0.0,0.0,12F,12_44_46,False
SRR26910518#2,3,1,0.0,0.0,3,3,False
SRR26884175#2,8,1,0.0,0.0,8,8,False
SRR26884175#7,8,1,0.0007892251,0.0007892251,8,8,False
ERR2090701#2,23B,1,0.0,0.0,23B,23,False
ERR2090701#30,23B,1,5.9604645e-08,5.9604645e-08,23B,23,False
ERR1788547#1,19F,1,1.7881393e-07,1.7881393e-07,19F,19F,False
ERR1788547#18,19F,1,0.0007713437,0.0007713437,19F,19F,False
ERR1788275#5,7F,1,1.1920929e-07,1.1920929e-07,7F,7A_7F,False
ERR316592#1,23F,1,0.00014990568,0.00014990568,23F,23,False
ERR742644#7,19A,1,0.0,0.0,19A,19A,False
ERR742644#11,19A,1,0.0,0.0,19A,19A,False
SRR26883991#10,19F,1,0.0,0.0,19F,19F,False
SRR26883991#27,19F,1,0.00034463406,0.00034463406,19F,19F,False
ERR311071#6,23F,1,7.855892e-05,7.855892e-05,23F,23,False
ERR2090685#3,5,1,0.0,0.0,5,5,False
ERR2090685#25,5,1,2.3841858e-07,2.3841858e-07,5,5,False
ERR2681160#1,16F,1,0.0,0.0,16F,16F,False
ERR316904#24,18C,1,0.0,0.0,18C,18,False
ERR316904#25,18C,1,0.04135716,0.04135716,18C,18,False
SRR26818422#3,22F,1,4.8279762e-05,4.8279762e-05,22F,22,False
SRR26818422#30,22F,1,0.0,0.0,22F,22,False
ERR3796768#1,24F,1,0.0,0.0,24F,Serogroup 24,False
SRR26797197#1,10A,1,5.9604645e-08,5.9604645e-08,10A,10,False
SRR26797197#27,10A,1,1.1920929e-07,1.1920929e-07,10A,10,False
ERR2681369#1,19A,1,0.0,0.0,19A,19A,False
ERR751158#2,14,1,0.0,0.0,14,14,False
ERR751158#25,14,1,0.0,0.0,9V,9,False
SRR26749459#2,19A,1,0.0,0.0,19A,19A,False
SRR26749459#29,19A,1,0.0,0.0,19A,19A,False
ERR4289115#4,15C,1,0.0016000867,0.0016000867,15B/C,15B/C,False
SRR26818566#20,19F,1,0.0,0.0,19F,19F,False
SRR26818566#26,19F,1,5.9604645e-08,5.9604645e-08,19F,19F,False
ERR730252#2,6A,1,0.0,0.0,6A,6,False
SRR26910359#1,8,1,0.0,0.0,8,8,False
SRR26818583#2,17F,1,0.0,0.0,17F,17F,False
SRR26818583#15,17F,1,0.0,0.0,17F,17F,False
SRR26789626#1,9N,1,0.0,0.0,9N,9,False
ERR1658089#6,16F,1,0.07958388,0.07958388,17F,17F,False
ERR1658089#16,16F,1,2.4616718e-05,2.4616718e-05,16F,16F,False
SRR26789729#2,8,1,0.0,0.0,8,8,False
SRR26789729#5,8,1,0.0,0.0,8,8,False
SRR26879514#12,15B,1,0.000102341175,0.000102341175,15B,15,False
SRR26879514#34,15B,1,0.00021100044,0.00021100044,15B,15,False
ERR1065299#16,15B/C,1,0.0,0.0,15B/C,15B/C,False
ERR1065299#22,15B/C,1,0.0,0.0,15B/C,15B/C,False
SRR26884074#2,8,1,0.0,0.0,8,8,False
ERR633117#1,19A,1,5.4240227e-06,5.4240227e-06,19A,19A,False
SRR26910802#1,31,1,0.0,0.0,31,31,False
ERR13364666#1,14,1,0.0,0.0,14,14,False
ERR13364666#22,14,1,0.0,0.0,14,14,False
ERR8481697#6,12F,1,5.9604645e-08,5.9604645e-08,12F,12_44_46,False
ERR13366243#5,14,1,2.3841858e-07,2.3841858e-07,14,14,False
ERR13366243#9,14,1,0.0,0.0,14,14,False
ERR596385#4,7C,1,8.3744526e-05,8.3744526e-05,7C,7B_7C_40,False
ERR596385#16,7C,1,0.0,0.0,7C,7B_7C_40,False
ERR730300#6,6A,1,1.7881393e-07,1.7881393e-07,6A,6,False
ERR730300#27,6A,1,2.3841858e-07,2.3841858e-07,6A,6,False
ERR570434#8,14,1,0.0,0.0,14,14,False
ERR570434#10,14,1,0.0,0.0,14,14,False
ERR13366013#4,3,1,0.0,0.0,3,3,False
SRR26877821#4,3,1,0.0,0.0,3,3,False
ERR1202082#5,5,1,1.1920929e-07,1.1920929e-07,5,5,False
ERR1202082#24,5,1,2.3841858e-07,2.3841858e-07,5,5,False
ERR490769#1,19A,1,0.0,0.0,19A,19A,False
ERR862521#1,4,1,1.1920929e-07,1.1920929e-07,4,4,False
ERR862521#12,4,1,1.1920929e-07,1.1920929e-07,4,4,False
ERR8481847#2,7C,1,0.024178863,0.024178863,7C,7B_7C_40,False
ERR8481847#6,7C,1,0.004202068,0.004202068,7C,7B_7C_40,False
ERR774289#1,13,1,0.0,0.0,13,13,False
ERR774289#13,13,1,0.06875187,0.06875187,13,13,False
SRR26930379#2,19A,1,1.2099743e-05,1.2099743e-05,19A,19A,False
ERR997639#1,4,1,5.9604645e-08,5.9604645e-08,4,4,False
ERR997639#24,4,1,0.0,0.0,4,4,False
SRR26595024#21,6C,1,0.0002593398,0.0002593398,6C,6,False
SRR26749815#2,23A,1,0.0,0.0,23A,23,False
ERR750951#1,3,1,0.0,0.0,3,3,False
SRR26880302#7,15A,1,0.06785995,0.06785995,15A,15,False
SRR26880302#21,15A,1,5.9604645e-08,5.9604645e-08,15A,15,False
ERR1430980#1,23F,1,0.0,0.0,23F,23,False
ERR1192032#1,21,1,4.6133995e-05,4.6133995e-05,21,21,False
ERR1192032#16,21,1,0.0,0.0,21,21,False
ERR876712#1,6B,1,0.0,0.0,6B,6,False
SRR26594501#1,8,1,0.0,0.0,8,8,False
ERR876790#1,15B/C,1,0.00020110607,0.00020110607,15B/C,15B/C,False
ERR326342#93,3,1,0.0,0.0,3,3,False
SRR26834376#3,9V,1,0.0,0.0,9V,9,False
SRR26834376#18,9V,1,5.9604645e-08,5.9604645e-08,9V,9,False
ERR2667839#18,5,1,0.0,0.0,5,5,False
ERR2667839#19,5,1,3.5762787e-07,3.5762787e-07,5,5,False
ERR925181#1,23B,1,0.0,0.0,23B,23,False
SRR26818234#2,22F,1,0.0,0.0,22F,22,False
SRR26818234#8,22F,1,0.0,0.0,22F,22,False
SRR26595049#1,8,1,0.0,0.0,8,8,False
SRR26595049#7,8,1,1.1920929e-07,1.1920929e-07,8,8,False
ERR568660#3,1,1,5.9604645e-08,5.9604645e-08,1,1,False
ERR568660#6,1,1,0.0,0.0,1,1,False
SRR26790199#2,11A,1,1.3589859e-05,1.3589859e-05,11A,11,False
ERR14653925#2,23F,1,9.775162e-06,9.775162e-06,23F,23,False
ERR2680703#2,33B,1,0.041600406,0.041600406,33B,33B_33D,False
ERR2680703#7,33B,1,0.00086700916,0.00086700916,33B,33B_33D,False
ERR925192#3,16F,1,0.0,0.0,16F,16F,False
ERR316712#19,23F,1,1.1920929e-07,1.1920929e-07,23F,23,False
SRR26714318#1,19A,1,5.9902668e-05,5.9902668e-05,19A,19A,False
SRR26910890#1,12F,1,3.361702e-05,3.361702e-05,12F,12_44_46,False
SRR26910890#9,12F,1,0.0,0.0,12F,12_44_46,False
SRR26910994#3,35B,1,3.886223e-05,3.886223e-05,35B,35B_35D,False
SRR26910994#7,35B,1,0.0,0.0,35B,35B_35D,False
SRR26931791#1,3,1,0.0,0.0,3,3,False
ERR2091264#7,15B/C,1,0.00025457144,0.00025457144,15B/C,15B/C,False
ERR2091264#8,15B/C,1,2.3841858e-07,2.3841858e-07,15B/C,15B/C,False
ERR1191977#1,21,1,0.0,0.0,21,21,False
ERR1191977#14,21,1,0.0,0.0,21,21,False
ERR3796833#5,24F,1,0.0,0.0,24F,Serogroup 24,False
ERR2680863#10,6B,1,6.556511e-07,6.556511e-07,6B,6,False
ERR870106#6,5,1,0.0,0.0,5,5,False
ERR870106#22,5,1,0.0,0.0,5,5,False
ERR1540676#18,15B/C,1,2.3841858e-07,2.3841858e-07,15B/C,15B/C,False
ERR1540676#96,15B/C,1,5.9604645e-08,5.9604645e-08,15B/C,15B/C,False
SRR26594908#2,33F,1,5.9604645e-08,5.9604645e-08,Serogroup 33,Serogroup 33,False
SRR26594908#18,33F,1,0.00053715706,0.00053715706,Serogroup 33,Serogroup 33,False
ERR1191906#3,8,1,1.1920929e-07,1.1920929e-07,8,8,False
ERR1191906#18,8,1,7.31349e-05,7.31349e-05,8,8,False
SRR26595130#1,Serogroup 24,1,0.0,0.0,Serogroup 24,Serogroup 24,False
SRR26789693#3,8,1,0.0,0.0,8,8,False
SRR26789693#5,8,1,0.0,0.0,8,8,False
SRR26595008#1,8,1,0.0,0.0,8,8,False
SRR26595008#7,8,1,1.1920929e-07,1.1920929e-07,8,8,False
ERR1066029#8,21,1,7.647276e-05,7.647276e-05,21,21,False
ERR1066029#22,21,1,0.0,0.0,21,21,False
ERR1065715#9,19F,1,0.0006492734,0.0006492734,19F,19F,False
ERR1065715#14,19F,1,0.0,0.0,35B,35B_35D,False
ERR1288919#2,6B,1,0.00024205446,0.00024205446,6B,6,False
ERR884372#10,14,1,0.0,0.0,14,14,False
ERR884372#25,14,1,1.1920929e-07,1.1920929e-07,14,14,False
ERR730331#8,9L,1,0.0,0.0,9L,9,False
ERR730331#10,9L,1,0.0,0.0,9L,9,False
ERR750790#24,6C,1,4.4047832e-05,4.4047832e-05,6C,6,False
ERR750790#45,6C,1,0.0,0.0,6C,6,False
SRR26833752#1,19A,1,8.106232e-06,8.106232e-06,19A,19A,False
ERR1065858#2,1,1,0.3423956,0.3423956,1,1,True
ERR1065858#8,1,1,0.0,0.0,1,1,False
SRR26750110#1,3,1,0.0,0.0,3,3,False
ERR913261#1,19A,1,0.0,0.0,19A,19A,False
ERR646588#1,6B,1,5.9604645e-08,5.9604645e-08,6B,6,False
ERR646588#2,6B,1,0.0,0.0,6B,6,False
ERR2667477#1,6A,1,0.0,0.0,6A,6,False
ERR2667477#29,6A,1,1.7881393e-07,1.7881393e-07,6A,6,False
ERR2090866#3,19F,1,0.0,0.0,19F,19F,False
ERR984269#8,9L,1,0.0,0.0,9L,9,False
ERR984269#12,9L,1,0.0,0.0,9L,9,False
SRR26884584#5,33F,1,0.0,0.0,33F,33A_33F_37,False
SRR26884584#16,33F,1,5.9604645e-08,5.9604645e-08,33F,33A_33F_37,False
SRR26672893#2,8,1,0.0,0.0,8,8,False
SRR26672893#4,8,1,1.5199184e-05,1.5199184e-05,8,8,False
ERR646567#10,14,1,2.9802322e-07,2.9802322e-07,14,14,False
ERR646567#16,14,1,0.002436161,0.002436161,14,14,False
ERR774109#12,12F,1,0.0,0.0,12F,12_44_46,False
ERR774109#30,12F,1,0.0,0.0,12F,12_44_46,False
ERR3303237#2,23F,1,0.0,0.0,23F,23,False
ERR869969#1,13,1,0.0,0.0,13,13,False
SRR26749412#2,8,1,0.0,0.0,8,8,False
SRR26749412#5,8,1,0.0,0.0,8,8,False
SRR26714957#2,10A,1,0.0,0.0,10A,10,False
SRR26714957#25,10A,1,0.0,0.0,10A,10,False
ERR884433#1,4,1,0.0,0.0,4,4,False
ERR884433#4,4,1,0.0044510365,0.0044510365,4,4,False
SRR26910991#4,8,1,0.0,0.0,8,8,False
SRR26910991#12,8,1,0.0,0.0,8,8,False
ERR13364423#12,14,1,0.0,0.0,14,14,False
ERR13364423#13,14,1,0.0,0.0,14,14,False
ERR13365396#2,22F,1,0.025384068,0.025384068,22F,22,False
ERR884503#11,6B,1,0.0,0.0,6B,6,False
ERR662360#2,19F,1,0.0028250217,0.0028250217,19F,19F,False
ERR662360#6,19F,1,0.34847546,0.34847546,19F,19F,True
ERR3796896#5,24F,1,0.0,0.0,Serogroup 24,Serogroup 24,False
ERR1214631#15,6B,1,1.4305115e-06,1.4305115e-06,6B,6,False
ERR742675#9,7F,1,0.0,0.0,7F,7A_7F,False
ERR742675#32,7F,1,0.0,0.0,7F,7A_7F,False
SRR26834471#2,8,1,0.0,0.0,8,8,False
SRR26834471#5,8,1,0.0,0.0,8,8,False
SRR26789670#1,12F,1,0.0,0.0,12F,12_44_46,False
SRR26789670#7,12F,1,0.0,0.0,12F,12_44_46,False
ERR1202228#1,23F,1,3.5762787e-07,3.5762787e-07,23F,23,False
ERR331175#8,6C,1,4.208088e-05,4.208088e-05,6C,6,False
ERR331175#49,6C,1,0.012345672,0.012345672,6C,6,False
SRR26797419#6,19F,1,0.0,0.0,19F,19F,False
SRR26797419#10,19F,1,5.9604645e-08,5.9604645e-08,19F,19F,False
SRR26797442#6,3,1,0.0,0.0,3,3,False
SRR26818603#5,20B,1,0.0,0.0,20B,20,False
SRR26818603#14,20B,1,1.5497208e-06,1.5497208e-06,20B,20,False
ERR730157#2,39,1,0.0,0.0,39,39,False
SRR26910444#2,8,1,1.3828278e-05,1.3828278e-05,8,8,False
ERR751176#24,6B,1,1.1920929e-07,1.1920929e-07,6B,6,False
ERR751176#27,6B,1,0.0,0.0,6B,6,False
SRR26884494#19,15A,1,3.528595e-05,3.528595e-05,15A,15,False
SRR26884494#21,15A,1,1.7881393e-07,1.7881393e-07,15A,15,False
ERR600376#5,33D,1,3.5762787e-07,3.5762787e-07,33D,33B_33D,False
ERR600376#18,33D,1,2.3841858e-07,2.3841858e-07,33D,33B_33D,False
SRR26673153#3,33F,1,4.3988228e-05,4.3988228e-05,33F,33A_33F_37,False
SRR26877946#17,15A,1,0.00081688166,0.00081688166,15A,15,False
SRR26877946#18,15A,1,0.0,0.0,15A,15,False
SRR26879737#3,6C,1,0.0,0.0,6C,6,False
ERR568704#2,3,1,0.0695734,0.0695734,22F,22,False
ERR326766#2,23F,1,0.0,0.0,23F,23,False
SRR26673717#30,3,1,0.0,0.0,3,3,False
ERR1066370#1,8,1,5.9604645e-08,5.9604645e-08,8,8,False
ERR2853617#4,19A,1,4.5776367e-05,4.5776367e-05,19A,19A,False
ERR751138#1,23F,1,0.00079643726,0.00079643726,23F,23,False
ERR742356#2,9V,1,0.0,0.0,9V,9,False
ERR742356#25,9V,1,0.012167811,0.012167811,9V,9,False
ERR1066366#6,21,1,5.0008297e-05,5.0008297e-05,21,21,False
ERR1066366#26,21,1,0.02069968,0.02069968,21,21,False
ERR1214459#1,11A,1,0.0,0.0,11A,11,False
ERR1422659#9,6B,1,0.00010961294,0.00010961294,6B,6,False
ERR2089083#1,23B,1,0.0003812313,0.0003812313,23B,23,False
ERR2089083#28,23B,1,0.0,0.0,23B,23,False
SRR26930830#2,8,1,0.0,0.0,8,8,False
SRR26930830#7,8,1,1.1920929e-07,1.1920929e-07,8,8,False
ERR2090135#1,9V,1,0.0574615,0.0574615,9V,9,False
ERR2818762#1,19A,1,6.556511e-07,6.556511e-07,19A,19A,False
ERR884394#1,19A,1,0.0,0.0,19A,19A,False
ERR3227761#3,14,1,0.0,0.0,14,14,False
